,Ticker,Drug,Indication,Stage,Catalyst-date,Catalyst-note
50,AVEO,TIVO-3 - tivozanib,Third line treatment of patients with renal cell cancer,crl,06/10/2013,"CRL issued June 10, 2013."
51,TBPH,VIBATIV  (telavancin hydrochloride) for injection,Hospital-acquired and ventilator-associated bacterial pneumonia (HABP/VABP),approved,06/21/2013,"Approved June 21, 2013."
52,SUPN,Trokendi ,Epilepsy,approved,08/19/2013,"Approved Aug 19, 2013."
53,ATRS,OTREXUP,Rheumatoid arthritis (RA),approved,10/14/2013,"Approved Oct 14, 2013."
54,ALIM,Iluvien,Diabetic macular edema,crl,10/17/2013," Second CRL October 17, 2013. "
55,EYPT,Iluvien,Diabetic macular edema,crl,10/18/2013,"Second CRL October 18, 2013."
56,ZGNX,Zohydro ER,Moderate to severe pain,approved,10/25/2013,"Approved October 25, 2013."
57,ABBV,Ibrutinib,Relapsed or refractory MCL mantle cell lymphoma,approved,11/13/2013,"Approved November 13, 2013."
58,AMAG,Feraheme,Adults with iron deficiency anemia (IDA),crl,01/22/2014,"CRL issued January 22, 2014."
59,VNDA,HETLIOZ (tasimelteon),Insomnia,approved,01/31/2014,"Approved January 31, 2014."
60,DRRX,Posidur,Post-operative pain relief ,crl,02/12/2014,"CRL issued February 12, 2014."
61,ABBV,Imbruvica,Cancer - Chronic Lymphocytic Leukemia Who Have Received at Least One Prior Therapy,approved,02/12/2014,"Approved February 12, 2014."
62,BMRN,Vimizim (GALNS),(MPS IVA) Morquio A Syndrome,approved,02/14/2014,"Approved February 14, 2014."
63,ENDP,AVEED (testosterone undecanoate) intramuscular injection,Men diagnosed with hypogonadism,approved,03/06/2014,"Approved March 6, 2014."
64,MDCO,Cangrelor,Reduction of thrombotic cardiovascular events including stent thrombosis in patients with coronary artery disease undergoing percutaneous coronary intervention (PCI),crl,04/30/2014,CRL April 30 2014.
65,OMER,Omidria,Cataract surgery,approved,06/02/2014,"Approved June 2, 2014."
66,BDSI,BEMA Buprenorphine/Naloxone (BNX) - BUNAVAIL,Opioid dependence,approved,06/06/2014,"Approved June 6, 2014."
67,NAVB,Lymphoseek,Head and Neck Cancer,approved,06/13/2014,"Approved June 13, 2014."
68,MNKD,AFREZZA ,Type 1/2 diabetes,approved,06/27/2014,"Approved June 27, 2014."
69,AVDL,VAZCULEP (phenylephrine hydrochloride),Clinically important hypotension resulting primarily from vasodilation in the setting of anesthesia,approved,06/30/2014,"Approved June 30, 2014."
70,EGRX,EP-3101 (bendamustine RTD) ,Chronic lymphocytic leukemia; Indolent non-Hodgkin's lymphoma - cancer,approved,07/02/2014,"Tentative approval July 2 2014. Teva has also received orphan drug and related pediatric exclusivity expiring in September 2015 and May 2016 for the CLL and NHL indications, respectively. "
71,SPPI,Belinostat,Peripheral T-Cell Lymphoma cancer,approved,07/07/2014,"Approved July 7, 2014."
72,ABBV,Imbruvica,Deletion 17p,approved,07/19/2014,"Approved July 19, 2014."
73,EGRX,Ryanodex,Malignant hyperthermia - cancer,approved,07/23/2014,"Approved July 23, 2014 under priority review."
74,ACRX,Zalviso,Post-operative pain following open abdominal surgery and hip or knee replacement surgery,crl,07/25/2014,CRL issued July 25 2014. 
75,MDCO,Oritavancin,ABSSSI,approved,08/06/2014,"Approved August 6, 2014 under priority review"
76,AKBA,Auryxia,Hyperphosphatemia,approved,09/05/2014,"Approved Sept 5, 2014."
77,HALO,HYQVIA,Subcutaneous treatment for patients with primary immunodeficiency (PI),approved,09/12/2014,"Approved September 12, 2014."
78,NKTR,MOVANTIK (Naloxegol),Opioid-induced constipation (OIC),approved,09/16/2014,"Approved September 16, 2014."
79,EYPT,Iluvien,Diabetic macular edema,approved,09/26/2014,Approved Sept 26 2014.
80,ALIM,Iluvien,Diabetic macular edema,approved,09/26/2014,"Approved September 26, 2014,"
81,PGNX,Subcutaneous RELISTOR,Chronic pain,approved,09/29/2014,"Approved September 29, 2014."
82,AEZS,Macimorelin Acetate - Macrilen,Adult Growth Deficiency,crl,11/06/2014,"CRL issued November 6, 2014."
83,INCY,Jakafi (ruxolitinib) (RESPONSE),Polycythemia Vera,approved,12/04/2014,"Approved December 4, 2014."
84,ABBV,VIEKIRA PAK,HCV - genotype 1,approved,12/19/2014,"Approved December 19, 2014."
85,ENTA,VIEKIRA PAK,HCV - genotype 1,approved,12/19/2014,"Approved December 19, 2014."
86,BCRX,RAPIVAB (peramivir),INFLUENZA ACUTE,approved,12/22/2014,"Approved December 22, 2014."
87,ADMS,Namzaric,Moderate to severe dementia of the Alzheimer's type.,approved,12/24/2014,"Approved December, 24 2014."
88,VRTX,KALYDECO,Cystic fibrosis (CF) ages 6 and older who have the R117H mutation,approved,12/29/2014,"Approved December 29, 2014."
89,NBIX,Elagolix ,Endometriosis,phase3,01/08/2015,"First Phase 3 trial met both co-primary endpoints - January 8, 2015."
90,ABBV,Elagolix ,Endometriosis,phase3,01/08/2015,"First Phase 3 trial met both co-primary endpoints - January 8, 2015."
91,RMTI,Soluble Ferric Pyrophosphate,Anemia,approved,01/26/2015,"Approved January 26, 2015."
92,ABBV,IMBRUVICA,Waldenström’s Macroglobulinemia,approved,01/29/2015,"Approved January 29, 2015 - PCYC"
93,ZGNX,Abuse deterrent formulations of Zohydro ER,Moderate to severe pain,approved,01/30/2015,"Approved January 30, 2015."
94,PCRX,EXPAREL,Post surgical pain,crl,03/02/2015,"CRL March 2, 2015. "
95,VRTX,KALYDECO (ivacaftor),Children ages 2 to 5 with cystic fibrosis who have the G551D or one of the eight additional gating mutations,approved,03/17/2015,"Approved March 17, 2015."
96,NKTR,Etirinotecan pegol NKTR-102 (BEACON),Cancer - Metastatic Breast Cancer,phase3,03/17/2015,"Phase 3 topline data mid March 17, 2015 did not reach primary endpoint."
97,ADMP,Epinephrine Pre-filled Syringe (PFS) ,Emergency treatment of anaphylaxis.,crl,03/25/2015,CRL issued March 27 2015. 
98,EBS,Anthrax Immune Globulin Intravenous (Human) [AIGIV] ,Anthrax,pdufa,03/25/2015,"Approved March 25, 2015."
99,AMGN,Corlanor,Chronic Heart Failure,approved,04/15/2015,"Approved April 15, 2015."
100,MNTA,Generic Copaxone,Multiple sclerosis,approved,04/16/2015,Approved April 16 2015.
101,MNK,RAPLIXA,Hemostasis,approved,04/30/2015,"Approved April 30, 2015."
102,MDCO,IONSYS,Acute postoperative pain,approved,04/30/2015,"Approved April 30, 2015."
103,TBPH,BREO ELLIPTA,Asthma,approved,04/30/2015,"Approved April 30, 2015."
104,PTX,TREXIMET,Adolescent migraine patients,approved,05/15/2015,"Approved May 15, 2015."
105,VRTX,Lumacaftor and ivacaftor,Cystic fibrosis (CF) ages 12 and older who have two copies of the F508del mutation,approved,07/02/2015,"Approved July 2, 2015."
106,NYMX,NX-1207 Fexapotide,BPH,phase3,07/27/2015,Phase 3 endpoints met in extension trial July 2015. 
107,SGEN,ADCETRIS - AETHERA,Post-transplant Hodgkin lymphoma (HL) cancer,approved,08/17/2015,"Approved August 17, 2015 under priority review."
108,TTPH,Eravacycline (TP-434) - IGNITE3,cUTI - complicated urinary tract infections,phase3,09/08/2015,"Phase 3 trial did not meet endpoints September 8, 2015."
109,MACK,ONIVYDE,Cancer - second line pancreatic,approved,10/22/2015,"Approved October 22, 2015."
110,IMGN,Kadcyla GATSBY trial,Cancer - metastatic HER2+ gastric cancer,phase3,10/22/2015,"Phase 3 endpoint not met - October 22, 2015."
111,SPPI,EVOMELA (melphalan) for Injection,Conditioning treatment prior to autologous stem cell transplant for patients with multiple myeloma,crl,10/23/2015,"CRL issued October 23, 2015."
112,BDSI,BEMA Buprenorphine,Pain,approved,10/25/2015,"Approved October 26, 2015."
113,ENDP,BEMA Buprenorphine,"Management of pain severe enough to require daily, around-the-clock, long-term opioid treatment for which alternative treatment options are inadequate",approved,10/26/2015,"Approved October 26, 2015."
114,GWPH,Sativex,Cancer pain,phase3,10/27/2015,Phase 3 trials did not meet endpoints.
115,SPHS,Topsalysin (PRX302),Benign prostatic hyperplasia,phase3,11/10/2015,"Phase 3 primary endpoints met - November 10, 2015."
116,EXEL,Vemurafenib,BRAF V600 Mutation-Positive Advanced Melanoma - Cancer,approved,11/10/2015,"Approved November 10, 2015."
117,NKTR,ADYNOVATE,Hemophilia A,approved,11/16/2015,"Approved November 16, 2015."
118,EBS,BioThrax ,Anthrax Vaccine Adsorbed,approved,11/24/2015,"Approved November 24, 2015."
119,OTIC,OTIPRIO (ciprofloxacin otic suspension) ,Ear Tube Placement Surgery,approved,12/11/2015,"Approved December 11, 2015."
120,ADMS,ADS-5102,Levodopa-Induced Dyskinesia,phase3,12/23/2015,"Phase 3 data released December 23, 2015. "
121,EGRX,Docetaxel Injection,"Breast, non-small cell lung, prostate gastric adenocarcinoma, and head and neck cancer",approved,12/24/2015,"Approved December 24, 2015."
122,CHRS,CHS-0214,Rheumatoid arthritis  ,phase3,01/11/2016,"Phase 3 data released January 2016. Endpoints met. However, commercialization not possible in US before 2029 due to patent issues"
123,BMRN,Kyndrisa,Duchenne Muscular Dystrophy (DMD),crl,01/14/2016,CRL issued January 14 2016.
124,ZFGN,Beloranib,Prader-Willi Syndrome (PWS),phase3,01/20/2016,Phase 3 co-primary endpoints met.
125,NEOS,Adzenys XR-ODT,Attention deficit hyperactivity disorder (ADHD),approved,01/27/2016,"Approved January 27, 2016."
126,VRTX,KALYDECO (ivacaftor),Cystic fibrosis (CF) ages 2 and older who have one of 23 residual function mutations.,crl,02/05/2016,"CRL issued February 5, 2016."
127,NBIX,Elagolix ,Endometriosis,phase3,02/10/2016,First Phase 3 trial met both co-primary endpoints - Jan 2015. Data from second Phase 3 released February 2016 also met endpoints.
128,ABBV,Elagolix ,Endometriosis,phase3,02/10/2016,First Phase 3 trial met both co-primary endpoints - Jan 2015. Data from second Phase 3 released February 2016 also met endpoints.
129,RDHL,RHB-105,H. pylori,phase3,03/08/2016,"Phase 3 final data released March 8, 2016. "
130,GWPH,Epidiolex,Dravet Syndrome and Lennox-Gastaut syndrome,phase3,03/14/2016,"Top line Phase 3 data released March 14, 2016 met primary endpoint. "
131,SPPI,EVOMELA (melphalan) for Injection,Conditioning treatment prior to autologous stem cell transplant for patients with multiple myeloma,approved,03/15/2016,Approved March 15 2016.
132,EGRX,KANGIO (bivalirudin injection),Percutaneous Coronary Intervention (PCI) and Percutaneous Transluminal Coronary Angioplasty (PTCA),crl,03/18/2016,CRL March 18 2016. FDA requested further characterization of bivalirudin-related substances in the drug product.
133,PTLA,Bevyxxa (betrixaban),Venous thromboembolism (VTE) Prevention,phase3,03/24/2016,"Phase 3 data released March 24, 2016 did not meet primary endpoint."
134,OPK,RAYALDEE,Secondary hyperparathyroidism (SHPT) in chronic kidney disease (CKD) and vitamin D insufficiency - Stage 3 and 4,crl,03/30/2016,"CRL issued March 30, 2016."
135,CHMA,Mycapssa,Acromegaly,crl,04/15/2016,"CRL April 15, 2016."
136,EXEL,CABOMETYX (cabozantinib),Metastatic renal cell cancer (RCC),approved,04/25/2016,"Approved April 25, 2016."
137,ACAD,Pimavanserin,Parkinson’s disease psychosis (PDP),approved,04/29/2016,"Approved April 29, 2016."
138,AVDL,Akovaz,Hypotension,approved,05/02/2016,"Approved May 2, 2016."
139,NLNK,HyperAcute Pancreas -  IMPRESS,Surgically resected pancreatic cancer,phase3,05/09/2016,"Phase 3 failed to meet primary endpoint - May 9, 2016."
140,TTNP,Probuphine,Opioid dependence,approved,05/26/2016,"CRL issued April 30, 2013. Approved May 26, 2016."
141,VNDA,Fanapt ,Supplemental New Drug Application (sNDA) as a maintenance treatment of schizophrenia in adults.,approved,05/26/2016,"Approved May 26, 2016."
142,AZN,Lokelma (ZS-9),Hyperkalaemia,crl,05/26/2016,"CRL issued May 26, 2016."
143,ICPT,Obeticholic acid (Ocaliva),Primary biliary cirrhosis (PBC) - POISE,approved,05/27/2016,Approved May 27 2016. 
144,OCUL,DEXTENZA,Allergic conjunctivitis,phase3,06/06/2016,"Phase 3 trial did not meet primary endpoint - June 6, 2016."
145,ADMP,Epinephrine Pre-filled Syringe (PFS) ,Emergency treatment of anaphylaxis.,crl,06/06/2016,"CRL issued March 27 2015. CRL issued again June 6, 2016. "
146,MRNS,Ganaxolone,Focal onset seizures,phase3,06/13/2016,"Phase 3 data did not meet endpoints - June 13, 2016"
147,RVNC,DAXI  (RT002),Lateral Canthal (Crow’s Feet) Lines,phase3,06/13/2016,"Phase 3 endpoints not met June 13, 2016."
148,PRTK,Omadacycline,Acute bacterial skin and skin structure infections (ABSSSI),phase3,06/16/2016,"Phase 3 top-line data met endpoints - June 16, 2016"
149,OPK,RAYALDEE,Secondary hyperparathyroidism (SHPT) in chronic kidney disease (CKD) and vitamin D insufficiency - Stage 3 and 4,approved,06/21/2016,"Announced FDA Approval June 21, 2016."
150,MDCO,Meropenem-vaborbactam,Complicated urinary tract infections (cUTI),phase3,06/27/2016,"Phase 3 data met endpoints June 27, 2016. "
151,CLVS,Rociletinib ,Mutant EGFR T790M-positive lung cancer,crl,06/28/2016,"CRL June 28, 2016. Phase 3 TIGER-3 also terminated."
152,LPCN,TLANDO - LPCN 1021,Men with low testosterone (Low T),crl,06/29/2016,"CRL issued June 29, 2016. "
153,GSK,Niraparib - NOVA (Niraparib Ovarian) ,Cancer - ovarian,phase3,06/29/2016,Phase 3 data met endpoints - June 2016.
154,AMPE,Ampion,Osteoarthritis of the Knee,phase3,06/30/2016,STRIDE study mid April 2015 did not meet endpoint. Second Phase 3 trial also did not meet primary endpoint - June 2016
155,CYTR,Aldoxorubicin with doxorubicin,Soft tissue sarcomas refractory cancer,phase3,07/11/2016,"Phase 3 PFS data released July 2016 showed no significant improvement in PFS. Second analysis released November 29, 2016 showed improvement in population with leiomyosarcoma and liposarcoma. "
156,RARE,MEPSEVII (vestronidase alfa),Mucopolysaccharidosis 7 (MPS 7),phase3,07/14/2016,Phase 3 data released July 2016. Primary endpoint hit. Secondary missed.
157,PGNX,Oral RELISTOR,Chronic pain,approved,07/19/2016,Approved July 19 2016.
158,OCUL,DEXTENZA,Ocular inflammation and pain following cataract surgery,crl,07/25/2016,CRL July 25 2016 - due to manufacturing deficiencies. 
159,ADMA,RI-002,Primary Immune Deficiency Diseases,crl,07/29/2016,CRL issued July 29 2016. Third-party manufacturing issues cited.
160,MCRB,SER-109 - ECOSPOR III,Recurrent C. Difficile infection,phase2,07/29/2016,Phase 2 interim data did not meet primary endpoint.
161,IONS,SPINRAZA - Nusinersen,Spinal muscular atrophy (SMA),phase3,08/01/2016,"Phase 3 ENDEAR trial met primary endpoint August 1, 2016."
162,HRTX,APF530 - Sustol,Prevention of acute- and delayed-onset chemotherapy-induced nausea and vomiting (CINV),approved,08/10/2016,"CRL Mar 28 2013. Approved August 10, 2016."
163,VTVT,TTP399 - AGATA,Type 2 Diabetes,phase2,08/10/2016,"Phase 2 data released August 10, 2016. Primary endpoint met."
164,AUPH,Voclosporin - AURORA,Lupus,phase2b,08/15/2016,Phase 2b data released August 2016. Primary endpoint met but with high number of deaths.
165,ACRX,DSUVIA (ARX-04),Moderate-to-severe acute pain following a surgical procedure,phase3,08/15/2016,"Phase 3 data released August 15, 2016."
166,PTLA,Andexxa,Factor Xa inhibitor reversal agent,crl,08/17/2016,CRL August 17 2016.
167,EARS,AM-101 (Keyzilen) - TACTT2,Acute inner ear tinnitus,phase3,08/18/2016,Phase 3 trial did not meet primary endpoints.
168,ACRS,A-101 THWART-1 and THWART-2,Common warts (verruca vulgaris),phase2,08/18/2016,Phase 2 data released August 2016.
169,RIGL,Tavalissetm (Fostamatinib),Immune Thrombocytopenic Purpura (ITP),phase3,08/30/2016,Phase 3 data from the first trial released August 30 2016. Primary endpoint met.
170,KMDA,Inhaled formulation of AAT,AATD - Alpha-1 Antitrypsin deficiency,phase2,08/30/2016,"Top-line data released August 30, 2016. Primary endpoint met"
171,GSK,Rolapitant,"Prevention of chemotherapy induced nausea and vomiting, or CINV in HEC patients",approved,09/02/2016,"Approved September 2, 2015."
172,OPK,Rolapitant,"Prevention of chemotherapy induced nausea and vomiting, or CINV",approved,09/02/2016,"Approved September 2, 2015."
173,TNXP,TNX-102 SL,Fibromyalgia,phase3,09/06/2016,"Phase 3 data released September 6, 2016. Primary endpoint not met. Program discontinued"
174,KPTI,Selinexor,Quadruple Refractory Multiple Myeloma,phase2,09/06/2016,"Phase 2 positive top-line data released September 6, 2016"
175,AERI,Roclatan,Glaucoma,phase3,09/14/2016,"Phase 3 Mercury 1 data released September 14, 2016. Primary endpoint met. "
176,NVAX,RSV vaccine - Resolve trial,Respiratory Syncytial Virus (RSV) in older adults,phase3,09/15/2016,"Phase 3 released September 15, 2016 did not demonstrate efficacy."
177,SRPT,Eteplirsen - Exon 51,Duchenne muscular dystrophy,approved,09/19/2016,"Approved September 19, 2016."
178,GILD,Yescarta (axicabtagene ciloleucel),Refractory Non-Hodgkin's Lymphoma (NHL) - cancer,phase2,09/26/2016,"Phase 2 pivotal top-line data released September 26, 2016. Primary analysis due 1Q 2017. BLA filing due late 2016."
179,ITCI,Lumateperone,Schizophrenia,phase3,09/28/2016,"Phase 3 trial failed - September 28, 2016."
180,GNCA,GEN-003,Genital herpes,phase2b,09/29/2016,Phase 2b virologic efficacy data released September 2016.
181,ABUS,ARB-1467,Hepatitis B (HBV),phase2,09/29/2016,Phase 2 single dose data released September 2016.
182,MLNT,Solithromycin,NASH,phase2,09/30/2016,"Phase 2 interim data released September 30, 2016."
183,TENX,Levosimendan,Septic shock,phase2b,10/05/2016,Phase 2b trial did not meet primary endpoint.
184,ALKS,ALKS 5461,Major depressive disorder,phase3,10/20/2016,"Phase 3 data from first two trials did not meet their endpoints. FORWARD-5 data, the third of three trials did meet endpoints - October 2016."
185,PLXP,Locilex,Mild infections of diabetic foot ulcers,phase3,10/25/2016,"Phase 3 top-line data did not meet endpoints - October 25, 2016 - TICKER CHANGED FROM DPRX FOLLOWING MERGER"
186,RIGL,Tavalissetm (Fostamatinib),Immune Thrombocytopenic Purpura (ITP),phase3,10/30/2016,Phase 3 data from second trial did not meet the primary endpoint.
187,AMAG,Vyleesi (Bremelanotide),Female sexual dysfunction (FSD),phase3,11/01/2016,"Phase 3 data released November 1, 2016."
188,PTN,Vyleesi (Bremelanotide),Female sexual dysfunction (FSD),phase3,11/01/2016,"Phase 3 data released November 1, 2016."
189,IONS,SPINRAZA - Nusinersen,Spinal muscular atrophy (SMA),phase3,11/07/2016,"Phase 3 CHERISH data met primary endpoint - November 7, 2016. "
190,DVAX,HEPLISAV-B ,Hepatitis B,crl,11/14/2016,"CRL November 14, 2016"
191,ALNY,Inclisiran - ORION-9,Hypercholesterolemia,phase2,11/15/2016,"Phase 2 Day 180 data presented at AHA Scientific Sessions on November 15, 2016."
192,MDCO,Inclisiran - ORION-9,Hypercholesterolemia,phase2,11/15/2016,"Phase 2 Day 180 data presented at AHA Scientific Sessions on November 15, 2016."
193,ACRS,ESKATA (hydrogen peroxide),Seborrheic keratosis (SK),phase3,11/15/2016,"Phase 3 trial met endpoints - November 15, 2016. "
194,BSTC,XIAFLEX (collagenase clostridium histolyticum) - RELEASE,Edematous fibrosclerotic panniculopathy (“cellulite”),phase2b,11/17/2016,"Phase 2b data released November 17, 2016. Met endpoints"
195,ENDP,XIAFLEX (collagenase clostridium histolyticum) - RELEASE,Edematous fibrosclerotic panniculopathy (“cellulite”),phase2b,11/17/2016,"Phase 2b data released November 17, 2016. Met endpoints"
196,SPPI,QAPZOLA - Apaziquone,Bladder cancer,phase3,11/17/2016,"Failed to meet primary endpoint in Phase 3 trial - Apr 2012. PDUFA date December 11 2016. Advisory Committee Meeting September 14 2016 voted 14 - 0 against approval. CRL issued November 17, 2016. Considering further trials."
197,ACOR,Dalfampridine,Post stroke deficits,phase3,11/21/2016,"Phase 3 data released November 21, 2016 - failed to show efficacy, development to be discontinued."
198,REPH,Intravenous (IV) meloxicam,Acute pain following bunionectomy surgery,phase3,11/28/2016,"Phase 3 data from second trial released November 28, 2016. Primary endpoint met."
199,CERC,CERC-301,Major depressive disorder (MDD),phase2,11/29/2016,"Phase 2 top-line data released November 29, 2016 failed to meet primary endpoint."
200,NOVN,SB206,Human papillomavirus (HPV),phase2,11/29/2016,"Phase 2 data released November 29, 2016. Primary endpoint met."
201,HTBX,HS-410,Bladder cancer,phase2,11/30/2016,"Phase 2 trial did not meet primary endpoint - November 30, 2016."
202,ARDM,Linhaliq (Pulmaquin),Non-cystic fibrosis bronchiectasis (non-CF BE).,phase3,12/01/2016,"Phase 3 data released December 1, 2016. One of two trials met primary endpoint."
203,LXRX,Sotagliflozin,Type 1 Diabetes,phase2,12/05/2016,Phase 2 trial did not meet primary endpoint.
204,HZNP,ACTIMMUNE,Friedreich's Ataxia (FA),phase3,12/08/2016,"Phase 3 data released December 8, 2016 - primary endpoint not met"
205,SGYP,Trulance (plecanatide),Constipation-predominant irritable bowel syndrome (IBS-C),phase3,12/09/2016,"Phase 3 data from first trial met primary endpoint - December 9, 2016."
206,ISEE,Fovista,Wet age-related macular degeneration (Wet-AMD),phase3,12/12/2016,"Phase 3 data released December 12, 2016 - primary endpoint not met."
207,ABUS,ARB-1467,Hepatitis B (HBV),phase2,12/12/2016,"Phase 2 single dose data released September 2016, multiple dose data released December 12, 2016."
208,LIFE,Resolaris,Limb girdle muscular dystrophy (LGMD) 2B / Adult patients with facioscapulohumeral muscular dystrophy (FSHD),phase1.5,12/13/2016,"Phase 1b/2 data released December 13, 2016."
209,VCEL,MACI ,Focal chondral cartilage defects in the knee.,approved,12/13/2016,"FDA Approval announced December 13, 2016 ahead of PDUFA date of January 3 2017. "
210,PRTO,Vonapanitase (PRT-201) PATENCY-1 ,Chronic kidney disease (CKD) patients undergoing surgical placement of an arteriovenous fistula (AVF),phase3,12/13/2016,"Phase 3 data released December 13, 2016 - primary endpoint not met."
211,BDSI,Clonidine gel,Painful diabetic neuropathy (PDN),phase2b,12/13/2016,"Phase 2b data released December 13, 2016 - primary endpoints not met."
212,VTVT,TTP273 - LOGRA,Type 2 Diabetes,phase2,12/14/2016,"Phase 2 primary endpoint met - December 14, 2016."
213,CLVS,Rucaparib ARIEL2,Cancer - ovarian second line,approved,12/19/2016,"Approved December 19, 2016. Original PDUFA date under priority review was February 23, 2017. "
214,ACAD,Pimavanserin - Harmony,Alzheimer’s disease psychosis,phase2,12/20/2016,"Phase 2 top-line data released December 20, 2016. Primary endpoint met. Key secondary endpoint missed."
215,MACK,MM-302 HERMIONE,Cancer - HER2-positive locally advanced or metastatic breast cancer,phase2,12/21/2016,"Phase 2 trial discontinued December 21, 2016 due to poor efficacy."
