,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31
long-term-debt,691.8069,608.602,602.05,575.47,574.828,574.335,282.732,282.406,282.082,281.761,281.443,281.126,280.813,280.501,280.192,279.885,287.5,287.5,287.5,278.68,287.5,,,,,,,,,,,,,,,,
other-non-current-liabilities,1.22,1.257,,15.872,,,,,,,20.528,20.062,,,25.71,24.661,52.421,51.575,49.659,52.453,55.451,57.189,56.656,55.842,0.15,0.211,0.27,0.338,0.408,0.484,0.555,0.656,,,,0.11,
total-long-term-liabilities,693.0269,609.859,603.344,591.342,581.306,578.7661,287.246,286.077,286.785,286.726,303.536,302.594,282.516,282.297,337.97,337.16,401.43,400.902,396.436,397.984,412.258,132.302,132.491,130.797,0.15,0.211,0.27,0.338,0.408,0.484,0.555,0.656,,,,0.11,
total-liabilities,804.387,715.957,709.766,717.091,657.798,655.382,372.688,367.594,506.17,506.103,362.405,368.191,341.586,355.153,411.911,412.736,477.367,463.33,452.12,445.756,443.237,157.276,156.647,151.749,14.729,12.223,11.76,12.498,12.439,10.331,10.23,11.652,0.0,0.0,0.0,5.45,0.0
common-stock-net,0.055,0.053,0.053,0.053,0.053,0.053,0.051,0.051,0.049,0.049,0.045,0.039,0.039,0.039,0.038,0.038,0.038,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.03,0.03,0.026,0.026,0.026,0.026,0.022,0.022,0.0,0.0,0.0,0.001,0.0
retained-earnings-accumulated-deficit,-2144.013,-2049.94,-1929.513,-1843.092,-1743.834,-1653.969,-1552.778,-1477.44,-1425.556,-1364.893,-1189.507,-1131.043,-1060.315,-994.62,-865.306,-781.906,-662.365,-563.72,-492.189,-429.045,-374.138,-334.496,-299.732,-269.014,-239.811,-219.491,-200.15,-184.482,-163.423,-145.155,-129.498,-110.499,,,,-54.92,
comprehensive-income,-44.699,-44.488,-44.564,-44.634,-44.55,-44.045,-40.661,-42.173,-42.701,-44.306,-47.118,-47.58,-45.01,-45.05,-43.717,-47.46,-41.486,-41.909,-50.275,-24.448,-16.306,2.862,5.216,4.696,0.068,0.047,0.044,0.053,0.055,0.047,0.051,0.049,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.04,0.0
total-share-holder-equity,-87.495,-29.982,74.851,146.469,233.666,312.35,306.236,367.636,299.189,343.793,174.209,-3.634,57.038,112.832,232.663,300.65,414.322,199.674,252.589,331.63,388.29,441.606,472.744,497.886,345.53,363.001,119.737,133.496,152.88,169.568,113.983,131.793,0.0,0.0,0.0,20.75,0.0
total-liabilities-share-holders-equity,716.892,685.975,784.617,863.56,891.464,967.732,678.924,735.23,805.359,849.896,536.614,364.557,398.624,467.985,644.574,713.386,891.689,663.004,704.709,777.386,831.527,598.882,629.391,649.635,360.259,375.224,131.497,145.994,165.319,179.899,124.213,143.445,0.0,0.0,0.0,26.2,0.0
