,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31
long-term-debt,6616.0,6615.0,6578.0,6443.0,6441.0,4955.0,4954.0,4953.0,4952.0,3719.0,3718.0,4468.0,4467.0,4465.0,4464.0,4463.0,3226.0,3243.0,3243.0,3624.0,3642.0,3642.0,3642.0,3642.0,3642.0,3640.0,3640.0,509.0,,,,575.0,
other-non-current-liabilities,453.0,439.0,442.0,452.0,451.0,470.0,515.0,373.0,302.0,292.0,294.0,321.0,345.0,351.0,369.0,314.0,321.0,347.0,256.0,264.0,233.0,222.0,216.0,217.0,174.0,169.0,154.0,266.0,,,,246.0,
total-long-term-liabilities,7542.0,7500.0,7484.0,7369.0,7338.0,5654.0,5715.0,5706.0,5523.0,4272.0,4284.0,5033.0,5078.0,5108.0,5103.0,5041.0,3774.0,3824.0,3755.0,4165.0,4140.0,4178.0,4177.0,4181.0,4085.0,4117.0,4131.0,1098.0,,,,1132.0,
total-liabilities,8594.0,8575.0,8566.0,8592.0,8341.0,6621.0,6715.0,6800.0,7269.0,6056.0,6014.0,6150.0,6117.0,6147.0,6266.0,6822.0,5432.0,5396.0,5125.0,5251.0,5138.0,5239.0,5304.0,5596.0,5393.0,5438.0,5418.0,2221.0,0.0,0.0,0.0,1975.0,0.0
common-stock-net,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4183.0,0.0,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,4217.0,3788.0,3495.0,3270.0,3067.0,2722.0,2399.0,2109.0,2140.0,1843.0,1651.0,1477.0,1423.0,1190.0,1016.0,876.0,943.0,795.0,832.0,709.0,661.0,531.0,395.0,276.0,207.0,109.0,13.0,,,,,,
comprehensive-income,-699.0,-669.0,-598.0,-629.0,-619.0,-543.0,-429.0,-505.0,-455.0,-542.0,-552.0,-598.0,-506.0,-554.0,-618.0,-622.0,-562.0,-504.0,-479.0,-361.0,-240.0,-199.0,-229.0,-219.0,-245.0,-183.0,-121.0,-157.0,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3736.0,0.0
total-share-holder-equity,2678.0,2411.0,2317.0,2185.0,2118.0,1982.0,1975.0,1786.0,2019.0,1746.0,1635.0,1499.0,1598.0,1371.0,1187.0,1091.0,1254.0,1202.0,1305.0,1337.0,1389.0,1283.0,1099.0,962.0,866.0,823.0,724.0,4041.0,0.0,0.0,0.0,3736.0,0.0
total-liabilities-share-holders-equity,11272.0,10986.0,10883.0,10777.0,10459.0,8603.0,8690.0,8586.0,9288.0,7802.0,7649.0,7649.0,7715.0,7518.0,7453.0,7913.0,6686.0,6598.0,6430.0,6588.0,6527.0,6522.0,6403.0,6558.0,6259.0,6261.0,6142.0,6262.0,0.0,0.0,0.0,5711.0,0.0
