,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30
long-term-debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156,0.137,0.149,0.188,0.187,0.068,0.079,0.078,0.04,0.04,0.04,0.042,,,,,
other-non-current-liabilities,7.552,7.218,7.295,2.611,2.167,1.066,1.121,1.188,1.098,2.4,2.198,2.001,0.872,0.864,0.916,0.774,0.676,0.641,0.341,0.325,0.4,0.265,0.298,0.249,0.243,0.415,0.361,0.105,0.102,0.101,0.068,0.071,0.075,0.082,0.082,0.086,0.391,0.347,0.376,0.411,0.413,0.381,0.364,0.38,0.438,0.45,0.51,1.188,0.01,0.02,0.03,0.05,
total-long-term-liabilities,8.375,7.702,7.779,3.095,4.341,3.241,3.298,3.364,3.046,4.346,4.139,3.942,2.552,2.543,2.596,2.452,3.593,3.559,3.258,3.244,3.8,3.741,3.773,3.71,1.916,2.088,2.034,1.778,1.091,1.09,1.057,1.06,0.518,0.525,0.525,0.529,2.326,2.17,2.141,2.145,2.071,1.85,1.774,1.718,1.86,1.84,1.76,2.226,0.84,0.85,0.86,0.88,
total-liabilities,27.698,25.124,27.164,22.853,18.98,16.356,15.94,16.553,15.156,13.743,14.904,14.424,14.616,12.679,12.76,12.82,12.426,12.798,11.646,13.285,16.381,12.753,12.482,13.93,11.204,9.544,9.908,10.172,9.286,8.026,7.343,7.599,10.379,8.887,8.742,10.918,10.138,8.872,8.373,8.693,8.966,8.062,6.895,8.651,8.344,10.33,10.09,12.271,7.59,5.73,5.77,6.26,
common-stock-net,0.215,0.213,0.212,0.211,0.211,0.208,0.208,0.207,0.207,0.204,0.202,0.2,0.2,0.199,0.198,0.197,0.195,0.191,0.189,0.188,0.188,0.187,0.17,0.17,0.168,0.166,0.166,0.165,0.164,0.163,0.163,0.163,0.163,0.162,0.161,0.161,0.161,0.159,0.159,0.159,0.158,0.157,0.157,0.157,0.157,0.15,0.15,0.155,0.15,0.15,0.15,0.15,
retained-earnings-accumulated-deficit,54.117,50.624,47.672,45.831,41.178,38.234,30.836,28.333,25.109,21.122,17.526,15.335,13.568,11.272,9.502,8.161,6.356,4.979,3.917,3.248,1.332,0.398,-0.874,-0.667,-1.413,-2.134,-3.024,-3.869,-4.567,-5.23,-6.054,-6.44,-6.786,-8.0,-8.829,-8.583,-10.547,-12.064,-13.575,-14.596,-15.865,-17.152,-18.075,-16.194,-16.506,-16.36,-15.44,-12.88,-11.7,-10.34,-10.57,-9.94,
comprehensive-income,-4.894,-3.818,-4.092,-3.9,-3.482,-3.207,-2.006,-2.289,-2.28,-2.944,-3.963,-4.583,-3.213,-3.525,-3.12,-4.049,-4.033,-3.525,-3.961,-2.365,-1.628,-0.25,-0.226,-0.253,-0.343,-0.653,-0.728,-0.433,-0.5,-0.618,-0.313,-0.606,-0.46,-0.006,-0.132,-0.429,-0.361,-1.217,-0.457,0.094,0.42,0.126,-0.381,-0.272,-0.255,,,0.291,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.69,,0.12,0.06,0.13,0.07,
total-share-holder-equity,142.316,137.537,133.088,130.235,125.347,120.744,113.47,109.77,106.113,98.311,91.618,87.5,86.69,82.85,80.624,77.884,74.186,70.439,67.927,68.207,67.119,67.783,56.236,56.562,55.392,54.131,53.338,52.888,51.906,51.973,52.046,52.088,52.645,52.804,52.31,52.356,51.3,49.177,48.578,48.213,47.353,45.641,43.995,45.748,45.227,45.69,46.68,48.586,49.5,50.49,50.19,50.69,
total-liabilities-share-holders-equity,170.014,162.661,160.252,153.088,144.327,137.1,129.41,126.323,121.269,112.054,106.522,101.924,101.306,95.529,93.384,90.704,86.612,83.237,79.573,81.492,83.5,80.536,68.718,70.492,66.596,63.675,63.246,63.06,61.192,59.999,59.389,59.687,63.024,61.691,61.052,63.274,61.438,58.049,56.951,56.906,56.319,53.703,50.89,54.399,53.571,56.02,56.78,60.857,57.09,56.22,55.96,56.96,
