,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31
total-current-liabilities,635.614,636.832,895.403,708.687,691.569,725.645,759.212,794.969,707.951,681.866,717.97,605.852,556.231,418.809,442.924,357.552,321.589,290.899,196.438,218.671,276.154,204.371,69.501,43.31,45.485,43.551,37.961,36.935,31.008,26.625,20.7,23.981,14.504,31.805,,,,,8.25,15.0
long-term-debt,1347.36,1366.778,1358.121,1896.684,1890.812,1885.118,1866.581,1891.03,1889.077,1883.844,1880.762,1799.743,1143.224,1139.687,1136.18,1132.756,1137.011,1132.898,566.914,297.169,297.022,,112.774,110.762,29.672,31.938,34.403,36.866,39.366,47.141,50.351,15.834,17.467,19.113,,,,,3.13,7.74
other-non-current-liabilities,69.907,74.078,69.429,38.717,363.296,361.408,358.485,347.331,336.648,356.786,319.999,318.354,184.501,190.796,192.194,132.95,129.708,133.88,48.722,50.145,53.522,30.924,335.182,134.558,0.165,0.203,0.238,0.243,0.123,0.121,0.128,0.124,0.001,0.001,,,,,,
total-long-term-liabilities,1530.235,1550.299,1536.218,2043.169,2410.956,2403.93,2382.538,2406.019,2461.68,2459.307,2451.108,2422.428,1431.462,1470.436,1470.601,1387.891,1418.991,1397.821,642.902,355.458,363.256,43.323,458.876,258.368,42.841,44.652,47.809,51.071,52.918,64.254,67.142,31.185,48.368,51.255,,,,,3.13,8.39
total-liabilities,2165.849,2187.131,2431.621,2751.856,3102.525,3129.575,3141.75,3200.988,3169.631,3141.173,3169.078,3028.28,1987.693,1889.245,1913.525,1745.443,1740.58,1688.72,839.34,574.129,639.41,247.694,528.377,301.678,88.326,88.203,85.77,88.006,83.926,90.879,87.842,55.166,62.872,83.06,0.0,,0.0,0.0,11.39,23.4
common-stock-net,0.019,0.019,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.014,0.013,0.011,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.003,0.003,0.002,0.002,,0.0,,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-1198.454,-1216.688,-1211.568,-1178.769,-1414.875,-1440.908,-1408.071,-1242.117,-1205.88,-1141.908,-931.38,-848.021,-717.479,-711.609,-726.593,-681.187,-705.181,-708.458,-740.272,-720.719,-689.072,-691.135,-663.365,-457.116,-354.215,-348.723,-330.282,-308.111,-283.778,-266.825,-244.043,-220.317,-143.59,-126.361,,,,,-79.98,-59.48
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0
total-share-holder-equity,1555.573,1520.873,1504.088,1190.106,916.861,860.15,861.095,1001.31,999.823,1028.768,1205.678,1263.779,1361.978,1338.213,1291.969,1313.145,1258.338,1253.967,687.956,540.204,485.485,80.67,-229.243,-49.082,69.889,70.314,84.09,105.978,128.417,57.873,81.806,45.912,126.331,89.31,0.0,,0.0,0.0,-3.17,-8.45
total-liabilities-share-holders-equity,3721.422,3708.004,3935.709,3941.962,4019.386,3989.725,4002.845,4202.298,4169.454,4169.941,4374.756,4292.059,3349.671,3227.458,3205.494,3058.588,2998.918,2942.687,1527.296,1114.333,1124.895,328.364,299.134,252.596,158.215,158.517,169.86,193.984,212.343,148.752,169.648,101.078,189.203,172.37,0.0,,0.0,0.0,8.21,14.95
