,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-06-30
total-current-liabilities,410.631,458.022,587.982,514.688,469.832,448.882,523.915,506.357,490.134,571.587,725.907,791.695,301.122,326.063,299.09,262.569,246.706,269.631,246.479,240.057,211.175,223.882,227.716,212.04,157.176,145.148,,,,134.56,
long-term-debt,63.481,6.003,6.188,5.107,5.447,6.962,6.962,6.544,6.275,6.279,6.928,6.999,8.881,13.858,64.243,113.104,163.902,15.679,15.97,15.96,17.227,16.051,18.79,19.757,31.801,22.468,,,,62.42,
other-non-current-liabilities,2228.407,2963.026,2671.238,2996.837,3975.14,3265.547,2865.237,2725.893,3245.131,3543.996,3227.462,3113.957,3420.445,3466.923,3559.421,3858.82,3910.979,4362.983,4269.126,3848.856,3875.076,3477.034,3884.618,4332.429,240.106,337.753,,,,279.51,
total-long-term-liabilities,2298.809,2973.795,2697.905,3020.794,4002.537,3290.398,2905.986,2763.379,3302.769,3598.502,3280.527,3171.199,3429.326,3480.781,3623.664,3971.924,4074.881,4378.662,4301.143,3880.863,3908.302,3493.085,3919.352,4368.088,287.748,376.0,,,,341.93,
total-liabilities,2709.44,3431.817,3285.887,3535.482,4472.369,3739.28,3429.901,3269.736,3792.903,4170.089,4006.434,3962.894,3730.448,3806.844,3922.754,4234.493,4321.587,4648.293,4547.622,4120.92,4119.477,3716.967,4147.068,4580.128,444.924,521.148,0.0,0.0,0.0,476.5,0.0
common-stock-net,0.649,0.644,0.642,0.638,0.58,0.575,0.574,0.573,0.536,0.519,0.507,0.502,0.481,0.46,0.453,0.436,0.378,0.377,0.374,0.371,0.324,0.324,0.324,0.324,0.056,0.357,0.0,0.0,0.0,0.06,0.0
retained-earnings-accumulated-deficit,-39.894,-775.674,-499.446,-794.07,-1820.0,-1277.581,-965.564,-875.448,-1289.097,-1662.772,-1408.257,-1347.242,-1841.265,-1951.878,-2068.152,-2446.788,-2629.512,-3118.474,-3059.48,-2689.66,-2836.874,-2469.873,-2946.265,-3482.996,50.321,50.599,,,,43.22,
comprehensive-income,,,,,,,,,,,,0.0,,-0.043,-0.079,-0.161,-0.177,-0.005,0.017,-0.04,0.025,0.043,0.021,0.0,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,0.0,0.0,0.0,-0.27,0.0
total-share-holder-equity,-114.856,-862.25,-601.714,-890.631,-1955.817,-1427.064,-1135.264,-949.573,-1288.561,-1662.253,-1407.75,-1346.74,-1840.784,-1951.461,-2067.778,-2446.513,-2629.311,-3118.102,-3059.089,-2688.55,-2836.532,-2470.311,-2947.197,-3484.494,76.916,77.768,0.0,0.0,0.0,78.43,0.0
total-liabilities-share-holders-equity,2594.584,2569.567,2684.173,2644.851,2516.552,2312.216,2294.637,2320.163,2504.342,2507.836,2598.684,2616.154,1889.664,1855.383,1854.976,1787.98,1692.276,1530.191,1488.533,1432.37,1282.945,1246.656,1199.871,1095.634,521.84,598.916,0.0,0.0,0.0,554.93,0.0
