,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-10-31,2015-09-30,2015-07-31,2015-06-30,2015-04-30,2015-03-31,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
long-term-debt,317.611,221.753,189.077,139.538,108.09,50.413,63.651,61.958,71.853,69.741,76.068,75.215,90.938,83.266,96.058,91.791,8.2486,,8.7415,,7.9213,,,1.605,1.4489,,4.946,,4.2567,5.4496,4.3599,,,5.4022,5.7761,6.1507,6.5072,6.8818,,7.048,7.048,15.46,22.46,39.215,46.715,62.339,64.839,84.65,125.0,125.0,,,,,,,,,125.0,125.0,,,
other-non-current-liabilities,185.893,184.917,205.657,316.226,190.074,211.937,183.978,69.084,74.404,75.666,37.759,35.071,27.17,29.609,31.809,29.743,,,,,,,3.9853,,,5.1939,,4.5969,,,,4.6537,5.0276,,,,,,7.2342,,,6.1191,,,,,,,,,9.5399,0.2666,0.2809,0.2952,0.3095,1.2842,1.2617,1.1485,0.8795,0.6367,0.1755,0.2099,
total-long-term-liabilities,545.468,542.422,490.428,549.217,478.621,446.082,426.419,282.561,332.347,347.717,311.891,285.832,363.178,357.121,410.929,388.156,8.2486,,8.7415,,7.9213,,3.9853,1.605,1.4489,5.1939,4.946,4.5969,4.2567,5.4496,4.3599,4.6537,5.0276,5.4022,5.7761,6.1507,6.5072,6.8818,7.2342,12.4185,12.7929,21.5791,28.9842,46.1134,53.9878,69.9865,72.8705,93.0632,133.793,134.1664,9.5399,0.2666,0.2809,0.2952,0.3095,1.2842,1.2617,1.1485,125.8795,125.6367,0.1755,0.2099,
total-liabilities,1014.659,1138.331,1112.738,1045.963,825.688,814.102,885.894,688.577,688.704,690.165,635.719,635.722,680.073,701.034,792.477,747.277,79.2611,,45.0442,,39.3705,,30.2707,26.8544,25.5993,35.0916,28.9351,29.6839,31.1555,34.4751,26.0181,28.7055,24.0105,28.4388,24.5819,32.4451,29.8673,36.0159,34.2005,32.72,30.2999,44.9043,47.4742,63.6905,70.7417,87.6318,89.5332,108.7813,150.3624,151.4544,151.0457,149.6026,151.9827,153.7071,155.5181,155.2744,149.8348,147.6704,151.9082,153.7587,25.2008,23.2596,19.558
common-stock-net,76.217,76.217,76.151,76.144,75.311,75.269,75.224,74.75,74.697,74.652,74.612,74.578,75.538,75.733,75.64,75.444,0.3214,,0.3209,,0.3205,,0.3204,0.3202,0.3198,0.3182,0.3176,0.3163,0.3152,0.3129,0.3124,0.3114,0.3099,0.3064,0.3036,0.3025,0.301,0.2971,0.2956,0.2915,0.29,0.2861,0.2861,0.2858,0.2856,0.2818,0.2816,0.2814,0.2813,0.2771,0.277,0.276,0.2727,0.267,0.2601,0.2594,0.2594,0.2578,0.2546,0.2535,0.2507,0.2478,0.2396
retained-earnings-accumulated-deficit,-263.525,-295.643,-266.428,-251.579,-40.932,-33.755,-48.821,-39.664,72.024,44.194,-3.304,-14.575,15.224,16.793,7.836,48.214,65.1546,,90.246,,77.8268,,67.3127,50.7713,33.4981,19.9793,1.5513,-12.3486,-26.2371,-34.911,-46.4431,-59.6266,-73.1935,-81.2685,-91.9317,-101.4339,-110.4617,-117.3462,-124.7754,-131.9674,-156.9086,-164.0719,-175.6622,-184.5112,-234.6554,-242.5208,-249.0438,-258.8384,-267.1886,-269.2414,-272.1448,-271.1475,-267.0701,-258.6463,-247.8785,-228.4932,-215.9995,-207.4662,-185.5583,-170.9552,-148.8851,-130.0241,-123.558
comprehensive-income,-41.61,-13.174,-28.713,-24.476,-0.245,-2.633,54.91,45.313,38.469,0.87,-54.966,-68.487,-25.341,-24.905,-9.106,-54.228,-2.6676,,-3.2367,,-3.4008,,-2.924,-0.7468,0.364,0.4549,0.409,0.6054,0.1764,0.168,0.4814,0.1336,-0.258,0.4218,0.3894,-0.2933,-0.4072,-0.5715,-0.2041,-0.2555,-0.0769,-0.0638,-0.0728,-0.11,-0.121,-0.2378,-0.2264,-0.245,0.2246,0.2514,-0.0073,-0.0979,-0.2645,-0.2986,-0.5508,-0.6888,-0.657,-0.6497,-0.6465,-0.643,-0.6436,-0.5487,-0.5246
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.4,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,,,
total-share-holder-equity,1495.282,1483.328,1486.806,1503.738,1784.992,1783.034,1818.982,1815.314,1914.426,1843.52,1734.928,1706.909,1816.887,1823.831,1825.233,1811.462,278.386,,293.1832,,276.5737,,271.1163,269.8933,264.3239,259.0999,240.2469,235.9987,234.6433,229.5682,224.3922,204.8235,188.8179,183.4694,173.2326,165.2463,170.0345,175.4534,173.2658,159.4505,120.9634,110.8596,98.7391,87.467,34.8872,24.4118,15.6545,3.6882,-6.6308,-15.2233,-14.814,-17.7839,-17.2001,-16.0622,-16.5038,-5.2129,3.0256,4.6299,5.0857,17.2208,59.2813,75.5958,70.5965
total-liabilities-share-holders-equity,2509.941,2621.659,2599.544,2549.701,2610.68,2597.136,2704.876,2503.891,2603.13,2533.685,2370.647,2342.631,2496.96,2524.865,2617.71,2558.739,357.6471,,338.2274,,315.9442,,301.3871,296.7477,289.9232,294.1914,269.182,265.6826,265.7988,264.0433,250.4103,233.529,212.8284,211.9082,197.8144,197.6913,199.9019,211.4692,207.4662,192.1705,151.2633,155.764,146.2133,151.1575,105.6288,112.0436,105.1877,112.4694,143.7316,136.2311,136.2318,131.8187,134.7826,137.6449,139.0143,150.0616,152.8604,152.3003,156.9939,170.9795,84.4821,98.8554,90.1544
