,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
total-current-liabilities,2080.0,1622.0,1118.0,1095.0,1171.0,1014.0,1365.0,1361.0,1263.0,1241.0,1187.0,1089.0,945.0,1151.0,1133.0,947.0,976.0,853.0,930.0,928.0,1692.0,1579.0,1719.0,1549.0,1602.0,1550.0,1908.0,1846.0,1893.0,2090.0,1835.0,1705.0,1837.0,1505.0,1592.0,1406.0,3083.0,2917.0,2709.0,2549.0,1123.0,991.0,1099.0,1130.0,1330.0,2894.0,3044.0,2674.0,1663.0,1510.0,1554.0,1372.0,1538.0,1679.0,1784.0,1637.0,1936.0,1771.0,1765.0,1771.0
long-term-debt,1791.0,1294.0,1798.0,1798.0,1799.0,1799.0,1800.0,1800.0,1801.0,1801.0,1802.0,1802.0,1904.0,1652.0,1654.0,1653.0,1655.0,1655.0,1656.0,1658.0,1663.0,2181.0,2693.0,2695.0,2699.0,2701.0,2106.0,2111.0,2112.0,1714.0,1926.0,1929.0,1932.0,2168.0,2144.0,2138.0,2190.0,2177.0,1393.0,1410.0,2904.0,2153.0,2154.0,2154.0,2125.0,604.0,622.0,626.0,2087.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,,1150.0,1150.0,1150.0
other-non-current-liabilities,473.0,737.0,752.0,785.0,761.0,750.0,776.0,770.0,293.0,285.0,335.0,331.0,339.0,356.0,446.0,412.0,414.0,469.0,489.0,499.0,513.0,745.0,724.0,673.0,802.0,774.0,787.0,791.0,792.0,811.0,646.0,647.0,643.0,654.0,719.0,692.0,710.0,699.0,550.0,526.0,573.0,562.0,560.0,984.0,669.0,737.0,731.0,850.0,429.0,433.0,388.0,385.0,395.0,492.0,391.0,404.0,341.0,483.0,484.0,461.0
total-long-term-liabilities,2624.0,2256.0,2779.0,2821.0,2799.0,2767.0,2802.0,2811.0,2328.0,2409.0,2454.0,2483.0,2603.0,2237.0,2342.0,2307.0,2333.0,2292.0,2321.0,2351.0,3819.0,3161.0,3678.0,3642.0,3795.0,3938.0,3371.0,3456.0,3458.0,2794.0,2853.0,2895.0,2904.0,3048.0,3096.0,3299.0,3377.0,3373.0,2426.0,2427.0,3975.0,3093.0,3058.0,3461.0,3118.0,1462.0,1474.0,1612.0,2657.0,2226.0,2174.0,2164.0,2183.0,2258.0,2199.0,2207.0,734.0,1633.0,1634.0,1611.0
total-liabilities,4704.0,3878.0,3897.0,3916.0,3970.0,3781.0,4167.0,4172.0,3591.0,3650.0,3641.0,3572.0,3548.0,3388.0,3475.0,3254.0,3309.0,3145.0,3251.0,3279.0,5511.0,4740.0,5397.0,5191.0,5397.0,5488.0,5279.0,5302.0,5351.0,4884.0,4688.0,4600.0,4741.0,4553.0,4688.0,4705.0,6460.0,6290.0,5135.0,4976.0,5098.0,4084.0,4157.0,4591.0,4448.0,4356.0,4518.0,4286.0,4320.0,3736.0,3728.0,3536.0,3721.0,3937.0,3983.0,3844.0,2670.0,3404.0,3399.0,3382.0
common-stock-net,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
retained-earnings-accumulated-deficit,-18.0,-122.0,178.0,90.0,-336.0,-416.0,-412.0,-529.0,-126.0,-260.0,-393.0,-453.0,6089.0,6000.0,5720.0,5666.0,5581.0,5474.0,5397.0,5348.0,6469.0,6487.0,6384.0,6289.0,6073.0,5901.0,5774.0,5607.0,5505.0,5114.0,4906.0,4651.0,4456.0,4167.0,3837.0,3637.0,3444.0,3152.0,2947.0,2839.0,2760.0,2735.0,2754.0,2855.0,2791.0,2560.0,2391.0,2218.0,2172.0,1992.0,1807.0,1684.0,1534.0,1695.0,1468.0,1353.0,-1463.0,-1509.0,-1612.0,-1707.0
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-share-holder-equity,4748.0,4747.0,5125.0,5036.0,4571.0,4568.0,4617.0,4526.0,4835.0,4611.0,4375.0,4300.0,4246.0,4346.0,4165.0,4048.0,4170.0,4106.0,4161.0,4240.0,5304.0,5640.0,5629.0,5447.0,5289.0,4790.0,5308.0,5351.0,5185.0,4873.0,4725.0,4499.0,4316.0,4200.0,3961.0,3339.0,3236.0,2810.0,2632.0,2598.0,2514.0,2489.0,2419.0,2571.0,2559.0,3185.0,3156.0,3173.0,3234.0,3288.0,3555.0,3657.0,3648.0,3792.0,4074.0,4182.0,4081.0,3948.0,3869.0,3768.0
total-liabilities-share-holders-equity,9452.0,8625.0,9022.0,8952.0,8541.0,8349.0,8784.0,8698.0,8426.0,8261.0,8016.0,7872.0,7794.0,7734.0,7640.0,7302.0,7479.0,7251.0,7412.0,7519.0,10815.0,10380.0,11026.0,10638.0,10686.0,10278.0,10587.0,10653.0,10536.0,9757.0,9413.0,9099.0,9057.0,8753.0,8649.0,8044.0,9696.0,9100.0,7767.0,7574.0,7612.0,6573.0,6576.0,7162.0,7007.0,7541.0,7674.0,7459.0,7554.0,7024.0,7283.0,7193.0,7369.0,7729.0,8057.0,8026.0,6751.0,7352.0,7268.0,7150.0
