,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
long-term-debt,985.771,607.351,599.601,591.978,584.485,577.119,569.877,566.173,344.953,340.836,336.762,332.768,328.962,175.69,173.681,171.967,174.931,174.535,174.56,166.283,170.513,174.724,120.934,119.041,117.209,111.718,106.186,103.73,101.517,99.382,110.844,108.54,106.319,104.177,70.857,69.433,94.179,92.292,98.217,89.136,95.902,83.079,81.446,60.172,85.0,85.0,13.338,16.006,18.673,21.341,,,,,
other-non-current-liabilities,18.769,14.819,15.408,9.01,6.668,6.48,6.904,6.03,6.201,5.748,5.231,5.032,4.888,4.73,4.922,3.952,3.619,2.921,3.038,2.774,2.58,1.521,1.984,1.943,2.567,2.246,2.186,1.867,2.07,2.068,2.04,2.052,1.26,1.303,1.492,1.619,1.728,1.957,1.964,1.999,2.706,2.922,3.159,2.987,2.861,2.748,3.546,1.431,1.328,1.234,0.317,0.316,,,
total-long-term-liabilities,1004.54,622.17,615.009,600.988,591.153,583.599,576.781,572.203,351.154,346.584,341.993,337.8,333.85,180.42,178.603,175.919,178.55,177.456,177.598,169.057,173.093,176.245,122.918,120.984,119.776,113.964,108.372,105.597,103.587,101.45,112.884,110.592,107.579,105.48,72.349,71.052,95.907,94.249,100.181,91.135,98.608,86.001,84.605,63.159,87.861,87.748,16.884,17.437,20.001,22.575,0.317,0.316,,,
total-liabilities,1117.822,727.943,728.982,716.645,688.377,659.708,659.195,658.228,426.094,394.602,381.372,393.497,388.102,235.601,228.378,241.075,237.987,230.138,224.974,213.353,220.857,247.444,166.036,163.358,168.07,147.817,151.352,153.883,152.929,144.59,145.464,138.587,132.34,132.091,89.146,90.002,116.349,118.009,118.113,110.948,116.825,102.784,104.395,80.127,103.684,103.282,42.828,38.466,39.307,39.62,41.248,39.396,,,
common-stock-net,0.062,0.06,0.06,0.059,0.059,0.059,0.059,0.058,0.058,0.058,0.058,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.056,0.056,0.055,0.055,0.055,0.055,0.054,0.053,0.048,0.048,0.048,0.048,0.048,0.047,0.047,0.046,0.045,0.041,0.041,0.039,0.039,0.032,0.029,0.029,0.029,0.029,0.028,0.028,0.028,0.027,0.027,0.001,0.001,,,
retained-earnings-accumulated-deficit,-676.982,-677.834,-679.236,-683.614,-693.507,-695.166,-693.475,-707.255,-700.395,-698.168,-690.401,-680.424,-671.305,-668.224,-664.026,-651.545,-624.218,-605.291,-589.859,-578.025,-572.625,-561.78,-532.669,-526.525,-524.025,-502.735,-492.216,-481.551,-471.357,-458.94,-444.464,-429.684,-426.684,-413.122,-393.701,-383.853,-362.995,-350.895,-343.746,-322.694,-314.959,-290.234,-269.995,-250.35,-220.087,-199.335,-175.453,-155.579,-139.911,-126.272,-113.6,-102.04,,,
comprehensive-income,-4.652,-2.829,-3.085,-2.905,-2.452,-2.386,-1.536,-0.493,-0.123,-0.529,-0.657,-0.726,-0.387,-0.243,-0.254,-0.654,-0.467,,,-0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009,,,,-0.019,,,
total-share-holder-equity,150.568,249.78,223.63,212.099,197.929,179.148,170.568,158.516,74.254,64.725,63.585,63.15,65.095,27.444,26.396,34.051,55.133,70.255,80.742,83.829,80.34,77.884,122.492,124.597,121.426,138.335,129.547,44.176,50.452,59.089,70.217,82.735,83.44,94.099,59.78,66.231,33.505,43.981,40.924,61.91,0.303,-3.471,15.457,28.106,31.648,51.291,73.639,92.275,96.298,109.52,6.434,17.744,,,
total-liabilities-share-holders-equity,1268.39,977.723,952.612,928.744,886.306,838.856,829.763,816.744,500.348,459.327,444.957,456.647,453.197,263.045,254.774,275.126,293.12,300.393,305.716,297.182,301.197,325.328,288.528,287.955,289.496,286.152,280.899,198.059,203.381,203.679,215.681,221.322,215.78,226.19,148.926,156.233,149.854,161.99,159.037,172.858,117.128,99.313,119.852,108.233,135.332,154.573,116.467,130.741,135.605,149.14,47.682,57.14,,,
