,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
total-current-liabilities,275.3,301.2,248.4,200.4,102.014,96.813,86.87,100.1,75.432,72.926,67.706,105.856,110.306,103.858,90.455,99.611,88.725,86.962,80.297,92.936,81.417,76.427,72.324,56.651,56.632,48.778,43.541,61.907,50.572,44.465,42.995,71.054,68.931,72.504,70.934,75.719,49.858,45.444,48.123,54.701,57.307,72.91,54.206,54.021,51.568,52.37,49.381,55.661,35.511,32.261,30.465,64.347,,,
long-term-debt,813.3,830.4,732.4,784.5,13.495,13.482,13.469,13.5,248.994,248.693,248.394,248.094,247.793,247.393,247.192,246.892,253.0,253.0,251.0,251.0,251.0,251.0,251.0,62.0,54.952,56.069,57.187,58.304,58.866,58.14,57.592,54.094,48.873,29.074,29.657,30.239,36.225,36.91,44.165,44.927,20.5,21.25,35.208,35.935,39.651,40.605,41.702,42.588,43.488,30.02,30.746,31.368,,,
other-non-current-liabilities,149.1,58.2,54.3,166.1,26.122,26.995,27.483,27.0,11.1,11.173,11.233,11.523,21.609,24.133,24.451,24.304,23.524,35.027,42.864,35.841,17.921,20.423,20.627,17.395,17.023,1.685,1.852,1.891,2.175,2.013,2.005,4.989,7.874,8.223,7.94,16.414,1.16,1.35,1.387,1.246,1.613,1.823,1.587,1.483,1.495,1.649,1.636,1.627,1.574,1.922,1.802,1.071,,,
total-long-term-liabilities,1023.5,1031.2,917.8,1018.1,104.96,103.732,100.317,57.8,285.06,276.958,273.514,268.05,274.097,279.936,278.46,277.856,282.511,294.11,299.67,292.554,274.736,273.055,273.432,80.814,71.975,57.754,59.039,60.195,61.041,60.153,59.597,59.083,59.528,40.25,41.42,51.039,37.385,38.26,45.552,46.173,22.113,23.073,36.795,37.418,42.999,44.434,45.663,46.688,47.747,34.715,35.407,35.436,,,
total-liabilities,1298.8,1332.4,1166.2,1218.5,206.974,200.545,187.187,157.9,360.492,349.884,341.22,373.906,384.403,383.794,368.915,377.467,371.236,381.072,379.967,385.49,356.153,349.482,345.756,137.465,128.607,106.532,102.58,122.102,111.613,104.618,102.592,130.137,128.459,112.754,112.354,126.758,87.243,83.704,93.675,100.874,79.42,95.983,91.001,91.439,94.567,96.804,95.044,102.349,83.258,66.976,65.872,99.783,,,
common-stock-net,0.1,0.1,0.1,0.1,0.051,0.051,0.05,0.1,0.041,0.041,0.041,0.041,0.041,0.041,0.04,0.04,0.039,0.039,0.038,0.038,0.038,0.038,0.038,0.037,0.037,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.035,0.035,0.031,0.031,0.031,0.031,0.031,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.028,0.028,,,
retained-earnings-accumulated-deficit,374.9,331.7,341.3,367.3,370.728,349.783,299.639,337.1,303.132,269.581,264.965,254.48,214.686,344.184,355.13,351.139,317.792,280.85,266.749,288.269,258.152,236.321,231.292,251.528,236.305,222.814,212.33,220.393,204.286,197.67,190.041,196.869,168.212,166.663,152.453,173.85,147.602,134.482,124.675,122.152,117.918,116.97,102.127,91.008,89.551,79.166,77.35,70.326,42.588,39.741,44.7,47.997,,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-share-holder-equity,1035.0,988.9,987.5,1010.9,966.649,938.346,881.28,912.3,663.71,620.599,610.419,596.205,547.623,672.672,666.982,660.017,605.312,562.251,537.878,553.201,513.138,487.767,477.495,489.165,466.857,449.082,435.805,442.128,428.412,422.522,412.095,416.727,384.503,381.23,358.923,373.561,278.994,262.043,249.116,243.815,237.382,230.402,212.781,199.349,192.829,181.115,178.597,171.159,143.493,140.02,138.021,138.472,,,
total-liabilities-share-holders-equity,2333.8,2321.3,2153.7,2229.4,1173.623,1138.891,1068.467,1070.2,1024.202,970.483,951.639,970.111,932.026,1056.466,1035.897,1037.484,976.548,943.323,917.845,938.691,869.291,837.249,823.251,626.63,595.464,555.614,538.385,564.23,540.025,527.14,514.687,546.864,512.962,493.984,471.277,500.319,366.237,345.747,342.791,344.689,316.802,326.385,303.782,290.788,287.396,277.919,273.641,273.508,226.751,206.996,203.893,238.255,,,
