,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31
total-assets,587.043,609.474,624.087,587.964,452.521,436.879,431.613,448.764,384.768,345.228,401.586,279.058,351.404,273.779,343.519,325.295,132.816,131.257,141.541,104.129,110.32,90.615,92.582,37.9826,7.7888,12.1983,6.7816,7.8916,8.9174,3.7245,4.5688,3.3106,3.896,5.5921,5.6878,2.1691,2.3717,2.8382,3.5538,4.0553,0.2922,0.3718,0.0,0.4375,0.0,0.0171,0.0219,0.0,0.0,0.0
total-current-liabilities,111.989,74.082,61.621,82.41,39.399,51.524,78.955,83.351,79.283,71.833,76.085,36.043,61.027,28.427,30.873,26.067,10.361,9.404,9.557,8.704,6.91,5.251,5.48,2.3185,1.4839,1.2658,0.5842,0.5442,0.4157,0.32,0.3593,0.472,0.425,1.1162,0.604,0.4235,0.2311,0.1847,0.3531,0.2156,0.038,0.0381,0.1174,0.0002,,0.0117,0.0033,,,
long-term-debt,275.632,277.29,223.136,145.535,16.203,5.501,5.211,24.575,26.541,26.083,47.107,0.458,1.801,3.113,4.394,5.646,6.868,7.656,8.83,8.446,9.442,10.317,4.431,4.7853,0.5353,0.6083,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,20.691,15.258,6.14,5.86,5.926,5.974,6.015,5.757,5.053,4.482,4.278,7.404,7.414,7.329,7.061,0.501,21.849,1.033,10.912,0.102,0.105,0.106,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-long-term-liabilities,420.438,417.279,354.966,281.994,153.657,144.482,146.048,263.124,209.289,211.289,238.999,170.521,155.149,156.389,171.708,152.443,31.201,21.853,23.271,24.435,25.386,26.214,20.293,4.7853,0.5353,0.6083,,,,,,,,,,,,,,,,,,,,,,,,
total-liabilities,532.427,491.361,416.587,364.404,193.056,196.006,225.003,346.475,288.572,283.122,315.084,206.564,216.176,184.816,202.581,178.51,41.562,31.257,32.828,33.139,32.296,31.465,25.773,7.1038,2.0192,1.8741,0.5842,0.5442,0.4157,0.32,0.3593,0.472,0.425,1.1162,0.604,0.4235,0.2311,0.1847,0.3531,0.2156,0.038,0.0381,0.1174,0.0002,,0.0117,0.0033,,,
common-stock-net,0.013,0.013,0.013,0.013,0.012,0.01,0.009,0.009,0.009,0.006,0.006,0.026,0.007,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.002,0.002,0.0016,0.0013,0.0336,0.0012,0.03,0.03,0.0262,0.0262,0.025,0.025,0.025,0.0251,0.0225,0.0225,0.0225,0.0225,0.0225,0.0011,0.0011,0.0102,0.0011,0.0079,0.0079,0.0008,,,
retained-earnings-accumulated-deficit,-532.583,-475.821,-367.75,-317.974,-270.646,-196.784,-165.12,-213.565,-211.503,-197.316,-174.252,-162.299,-176.668,-131.719,-113.329,-89.853,-88.914,-77.956,-67.518,-59.013,-51.408,-42.954,-32.861,-21.5657,-18.2093,-13.4726,-10.9503,-9.1955,-7.9542,-7.0111,-6.105,-5.3429,-4.6406,-3.5529,-2.8685,-2.6804,-2.2356,-1.66,-1.0601,-0.3742,-1.8007,-1.7211,-0.1178,-1.6176,-1.4924,-1.4869,-1.4738,,,
comprehensive-income,0.048,0.1,0.015,0.079,0.153,0.352,0.242,0.123,0.218,-0.056,-0.118,0.328,25.454,36.69,73.579,54.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,-43.502,-43.502,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
total-share-holder-equity,54.616,118.113,207.5,223.56,259.465,240.873,206.61,102.289,96.196,62.106,86.502,72.494,135.228,88.963,140.938,146.785,91.254,100.0,108.713,70.99,78.024,59.15,66.809,30.8788,5.7696,10.3243,6.1974,7.3473,8.5017,3.4045,4.2095,2.8386,3.471,4.4759,5.0838,1.7456,2.1406,2.6535,3.2007,3.8396,0.2542,0.3337,-0.1174,0.4373,0.0,0.0054,0.0186,,,
total-liabilities-share-holders-equity,587.043,609.474,624.087,587.964,452.521,436.879,431.613,448.764,384.768,345.228,401.586,279.058,351.404,273.779,343.519,325.295,132.816,131.257,141.541,104.129,110.32,90.615,92.582,37.9826,7.7888,12.1983,6.7816,7.8916,8.9174,3.7245,4.5688,3.3106,3.896,5.5921,5.6878,2.1691,2.3717,2.8382,3.5538,4.0553,0.2922,0.3718,,0.4375,0.0,0.0171,0.0219,,,
