,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
total-current-liabilities,8170.0,8518.0,8472.0,8853.0,8463.0,9112.0,10084.0,10933.0,10496.0,15148.0,14264.0,12672.0,9601.0,7896.0,7165.0,8141.0,8126.0,7660.0,9173.0,5613.0,6952.0,5433.0,5559.0,5632.0,5496.0,4285.0,3950.0,6958.0,6621.0,5811.0,5927.0,4562.0,4734.0,4805.0,4726.0,6414.0,5895.0,5611.0,5121.0,3794.0,3278.0,3132.0,3147.0,3168.0,2914.0,3722.0,3535.0,3536.0,2651.0,2040.0,2563.0,2703.0,2695.0,4439.0,4406.0,4871.5,4899.1,3602.5,3380.0,2655.9
long-term-debt,24752.0,24804.0,24486.0,23674.0,23673.0,23678.0,23699.0,25918.0,25941.0,25953.0,25921.0,25923.0,29010.0,30124.0,30109.0,33681.0,33690.0,33709.0,33752.0,26641.0,9708.0,10323.0,10315.0,9601.0,9637.0,9637.0,9741.0,7314.0,7355.0,7386.0,7359.0,8248.0,8222.0,8195.0,8112.0,7084.0,7148.0,7080.0,6944.0,5996.0,6368.0,6307.0,6253.0,5525.0,5523.0,5499.0,5802.0,5656.0,5494.0,5576.0,5578.0,5577.0,5581.0,5485.0,5486.0,1002.5,1001.2,1973.0,1973.2,1974.9
other-non-current-liabilities,6036.0,6103.0,5246.0,4906.0,4975.0,5255.0,5365.0,7246.0,4602.0,5752.0,6364.0,5847.0,5748.0,5899.0,6578.0,6266.0,6094.0,5747.0,5830.0,2391.0,2262.0,2173.0,2240.0,2286.0,2236.0,2188.0,2198.0,2202.0,2225.0,2218.0,2143.0,1789.0,1765.0,1472.0,1408.0,1642.0,1437.0,1326.0,1307.0,1015.0,993.0,929.0,891.0,1007.0,954.0,1273.0,1325.0,1244.0,966.0,901.0,394.0,308.0,343.0,361.0,368.0,364.6,362.6,368.7,336.6,390.5
total-long-term-liabilities,32164.0,32253.0,31010.0,29936.0,29973.0,30280.0,30487.0,34527.0,32384.0,34315.0,35263.0,35413.0,38512.0,39813.0,40416.0,43749.0,44550.0,44157.0,44282.0,29447.0,12390.0,12873.0,12941.0,12245.0,12228.0,12168.0,12279.0,10155.0,10164.0,10186.0,9778.0,10180.0,10280.0,9946.0,9981.0,8825.0,8591.0,8448.0,8340.0,7054.0,7398.0,7298.0,7259.0,6532.0,6495.0,6772.0,7127.0,6910.0,6460.0,6477.0,5972.0,5885.0,5924.0,5846.0,5876.0,1729.9,1734.7,2734.0,2787.9,2807.4
total-liabilities,40334.0,40771.0,39482.0,38789.0,38436.0,39392.0,40571.0,45460.0,42880.0,49463.0,49527.0,48085.0,48113.0,47709.0,47581.0,51890.0,52676.0,51817.0,53455.0,35060.0,19342.0,18306.0,18500.0,17877.0,17724.0,16453.0,16229.0,17113.0,16785.0,15997.0,15705.0,14742.0,15014.0,14751.0,14707.0,15239.0,14486.0,14059.0,13461.0,10848.0,10676.0,10430.0,10406.0,9700.0,9409.0,10494.0,10662.0,10446.0,9111.0,8517.0,8535.0,8588.0,8619.0,10285.0,10282.0,6601.4,6633.8,6336.5,6167.9,5463.3
common-stock-net,,,,,,,,,,,,,,,,,,,,99.0,98.0,99.0,100.0,100.0,100.0,100.0,102.0,101.0,101.0,103.0,104.0,105.0,106.0,106.0,107.0,107.0,108.0,108.0,110.0,111.0,111.0,111.0,112.0,112.0,112.0,113.0,112.0,112.0,113.0,114.0,114.0,115.0,115.0,115.0,116.0,120.9,120.7,120.9,121.0,120.7
retained-earnings-accumulated-deficit,27018.0,26377.0,26270.0,25769.0,25171.0,24730.0,24379.0,23426.0,25438.0,24043.0,23270.0,52266.0,52514.0,52848.0,21704.0,53781.0,53740.0,54165.0,54414.0,20735.0,19846.0,19637.0,19940.0,19872.0,19211.0,18995.0,19061.0,18207.0,17558.0,17667.0,17482.0,17340.0,16790.0,16319.0,16085.0,15476.0,15114.0,14846.0,14826.0,14410.0,13750.0,13243.0,13272.0,12987.0,12468.0,12334.0,11710.0,10973.0,11492.0,11117.0,10925.0,10683.0,9960.0,9600.0,9112.0,11448.8,10843.8,10307.2,10178.5,9974.7
comprehensive-income,-2611.0,-2484.0,-2711.0,-2458.0,-2612.0,-2323.0,-1786.0,-1382.0,-2060.0,-1924.0,-2613.0,-2879.0,-2328.0,-2024.0,-1868.0,-2965.0,-1471.0,-1356.0,-1184.0,-661.0,-506.0,-488.0,-597.0,-618.0,-567.0,-576.0,-492.0,-472.0,-484.0,-515.0,-473.0,-276.0,-157.0,-85.0,-224.0,-225.0,-397.0,-353.0,,-201.0,-253.0,-210.0,,-35.0,44.0,-208.0,,,,,,,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-307.0,,,,-202.0,,,,-286.0,-119.0,-130.0,-88.0,-62.0,186.0,202.0,181.0,155.0,167.9,169.2,152.7,150.0,136.7
total-share-holder-equity,50719.0,50497.0,50212.0,49941.0,49714.0,50329.0,50822.0,50340.0,51578.0,50787.0,50330.0,49493.0,50293.0,50892.0,52063.0,50816.0,52269.0,52809.0,53230.0,20173.0,19438.0,19248.0,19443.0,19354.0,18744.0,18519.0,18671.0,17836.0,17175.0,17255.0,17113.0,17169.0,16739.0,16340.0,15968.0,15358.0,14825.0,14601.0,14629.0,14320.0,13608.0,13144.0,13182.0,13064.0,12624.0,12239.0,11536.0,10966.0,11475.0,11143.0,10977.0,10984.0,10277.0,9896.0,9383.0,11737.6,11133.7,10580.8,10449.5,10232.1
total-liabilities-share-holders-equity,91053.0,91268.0,89694.0,88730.0,88150.0,89721.0,91393.0,95800.0,94458.0,100250.0,99857.0,97578.0,98406.0,98601.0,99644.0,102706.0,104945.0,104626.0,106685.0,55233.0,38780.0,37554.0,37943.0,37231.0,36468.0,34972.0,34900.0,34949.0,33960.0,33252.0,32818.0,31911.0,31753.0,31091.0,30675.0,30597.0,29311.0,28660.0,28090.0,25168.0,24284.0,23574.0,23588.0,22764.0,22033.0,22733.0,22198.0,21412.0,20586.0,19660.0,19512.0,19572.0,18896.0,20181.0,19665.0,18339.0,17767.5,16917.3,16617.4,15695.4
