,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31
total-provision-income-taxes,8.445,8.93,8.441,10.876,7.389,5.327,8.539,26.224,11.766,10.89,13.7,12.179,12.628,12.53,15.601,18.632,14.447,13.417,13.525,11.84,11.738,11.231,11.348,10.835,9.39,3.545,9.619,8.327,10.528,11.26,10.707,9.93,9.494,7.864,8.885,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
net-income,38.307,38.163,33.21,36.751,35.208,44.977,39.538,24.376,25.591,28.667,28.714,24.298,26.227,25.806,28.01,37.601,26.481,24.054,24.648,27.638,23.061,20.647,21.139,20.985,20.31,7.426,19.891,20.767,16.487,19.001,17.576,13.57,16.863,13.099,11.877,,
ebitda,55.364,55.388,48.937,55.057,49.093,52.588,55.894,57.583,47.036,48.913,53.562,57.43,46.47,46.072,50.48,63.414,47.747,43.665,44.834,45.948,40.803,37.705,38.34,37.815,35.083,16.689,33.841,33.718,31.672,35.072,32.439,28.421,30.855,27.864,27.133,,
ebit,42.061,42.869,37.079,43.252,38.301,42.139,45.633,48.36,35.795,37.371,40.314,35.722,37.65,37.918,42.851,55.997,40.675,37.03,38.52,39.644,34.923,31.553,32.242,31.747,29.503,11.192,29.231,29.11,27.06,30.565,28.058,23.683,26.529,23.809,23.312,,
basic-shares-outstanding,99.238,99.023,98.727,97.884,98.328,97.83,96.84,96.243,96.318,96.161,95.996,95.647,95.739,95.585,95.398,95.046,95.138,94.979,94.788,94.227,94.399,94.212,93.715,92.647,93.028,92.415,91.805,89.608,90.111,88.354,88.221,88.093,88.063,72.43,72.67,,
shares-outstanding,102.1,101.582,101.367,101.316,101.804,101.51,100.496,97.887,97.849,97.818,97.148,96.432,96.492,96.426,96.293,96.073,96.119,96.049,95.905,95.457,95.475,95.48,95.172,94.192,94.422,93.97,93.573,92.208,92.697,91.254,90.877,90.337,90.398,74.652,75.584,,
eps-basic-net-earnings-per-share,0.39,0.39,0.34,0.37,0.36,0.46,0.41,0.25,0.27,0.3,0.3,0.26,0.27,0.27,0.29,0.4,0.28,0.25,0.26,0.29,0.24,0.22,0.23,0.22,0.22,0.08,0.22,0.22,0.18,0.22,0.2,0.15,0.19,0.18,0.16,,
eps-earnings-per-share-diluted,0.38,0.38,0.33,0.36,0.35,0.44,0.39,0.25,0.26,0.29,0.3,0.25,0.27,0.27,0.29,0.38,0.28,0.25,0.26,0.29,0.24,0.22,0.22,0.22,0.22,0.08,0.21,0.22,0.18,0.21,0.19,0.15,0.19,0.18,0.16,0.0,0.0
