,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31
total-provision-income-taxes,3.468,4.807,-2.073,2.553,-1.281,-1.5,-0.142,6.778,-0.435,1.27,-0.866,-37.613,0.141,-0.209,0.014,0.208,0.137,-0.025,0.148,0.31,0.222,,-2.845,0.191,0.024,,,-0.474,,-0.431,,0.24,,0.004,,,,,,0.4,-0.474,0.584,-0.505,-0.227,0.77,1.172,-0.232,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,8.283,8.3,11.685,10.393,16.001,10.444,5.982,-15.593,-2.285,1.726,0.196,40.448,4.195,4.697,4.097,2.848,2.478,2.171,-0.069,-1.654,-0.029,-3.988,-4.122,0.023,-2.956,-2.299,-2.087,-4.349,-3.121,-1.198,-3.534,-49.761,-7.103,-3.006,-1.552,-4.817,-7.47,-2.142,-5.431,-15.897,-5.422,1.565,-0.722,6.926,0.987,1.632,-2.937,-0.6664,-0.935,-3.466,-3.6366
ebitda,24.673,26.215,23.512,24.516,27.104,21.487,16.875,4.69,7.852,8.213,6.043,7.041,8.655,8.73,7.855,6.822,6.072,5.691,3.421,2.605,3.734,2.841,-0.943,3.068,0.897,0.498,0.974,-1.747,-0.878,0.551,-1.439,-1.068,-3.919,0.544,1.813,-1.453,-4.63,1.239,-2.356,-12.479,-3.316,4.919,1.164,8.975,3.718,4.482,1.209,2.8708,2.919,0.2376,-1.2364
ebit,14.999,15.713,13.18,14.579,17.376,11.123,6.736,-7.312,-1.167,4.388,2.328,3.391,4.966,5.121,4.534,3.458,3.006,2.585,0.469,-0.702,0.486,-0.401,-3.696,0.226,-2.835,-2.238,-2.034,-4.784,-3.126,-1.668,-3.581,-49.558,-7.137,-3.038,-1.589,-4.591,-7.504,-2.162,-5.435,-15.507,-5.906,2.109,-1.345,6.404,1.434,2.537,-0.684,1.9178,1.535,-1.01,-2.2008
basic-shares-outstanding,33.908,33.825,33.654,32.709,33.003,32.435,32.57,30.386,31.897,28.687,28.429,27.92,28.102,27.961,27.371,27.116,27.181,27.072,26.935,26.445,26.522,26.434,26.111,25.544,25.616,25.537,25.191,24.934,24.995,24.919,24.605,24.425,24.4508,24.4012,24.299,24.1091,24.162,24.083,23.893,23.771,23.813,23.792,23.6,18.349,23.171,23.098,4.695,3.012,3.072,3.054,2.993
shares-outstanding,36.268,36.318,36.406,35.783,35.918,35.578,35.235,30.386,31.897,31.673,31.315,30.489,30.881,30.516,29.521,29.089,29.311,28.918,26.935,26.445,26.522,26.434,26.111,25.544,25.616,25.537,25.191,24.934,24.995,24.919,24.605,24.425,24.4508,24.4012,24.299,24.1091,24.162,24.083,23.893,23.771,23.813,23.795,23.6,22.659,24.039,24.191,4.695,3.012,3.072,3.054,2.993
eps-basic-net-earnings-per-share,0.24,0.25,0.35,0.33,0.48,0.32,0.18,-0.53,-0.07,0.06,0.01,1.44,0.15,0.17,0.15,0.1,0.09,0.08,0.0,-0.06,0.0,-0.15,-0.16,0.0,-0.12,-0.09,-0.08,-0.18,-0.12,-0.05,-0.14,-2.04,-0.29,-0.12,-0.06,-0.19,-0.31,-0.09,-0.23,-0.67,-0.23,0.07,-0.03,0.88,0.04,0.07,-0.63,-0.24,-0.3,-1.13,-1.22
eps-earnings-per-share-diluted,0.23,0.23,0.32,0.29,0.45,0.29,0.17,-0.52,-0.07,0.05,0.01,1.32,0.14,0.15,0.14,0.1,0.08,0.08,0.0,-0.06,0.0,-0.15,-0.16,0.0,-0.12,-0.09,-0.08,-0.18,-0.12,-0.05,-0.14,-2.04,-0.29,-0.12,-0.06,-0.19,-0.31,-0.09,-0.23,-0.67,-0.23,0.07,-0.03,0.81,0.04,0.07,-0.63,-0.24,-0.3,-1.13,-1.22
