,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
total-provision-income-taxes,-77.0,100.0,110.0,99.0,235.0,103.0,260.0,2419.0,-285.0,186.0,271.0,147.0,101.0,59.0,31.0,84.0,563.0,120.0,188.0,217.0,194.0,212.0,33.0,193.0,214.0,200.0,185.0,167.0,208.0,224.0,144.0,208.0,179.0,199.0,129.0,84.0,186.0,210.0,271.0,232.0,242.0,116.0,-93.0,195.0,76.0,192.0,138.0,58.0,202.0,204.0,43.0,224.0,230.0,216.0,260.0,235.0,-52.0,171.0,84.9,219.9
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,1371.0,877.0,1182.0,1271.0,1120.0,1077.0,1465.0,-1392.0,2013.0,1009.0,1164.0,820.0,1111.0,929.0,1103.0,1095.0,520.0,820.0,-1.0,977.0,828.0,871.0,448.0,762.0,902.0,953.0,969.0,988.0,646.0,864.0,887.0,845.0,864.0,819.0,746.0,913.0,566.0,830.0,939.0,831.0,868.0,445.0,102.0,698.0,547.0,723.0,720.0,77.0,666.0,675.0,812.0,710.0,681.0,599.0,739.0,670.0,817.0,321.0,194.5001,544.1
income-from-discontinued-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,90.0,7.0,2.0,30.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
net-income,1364.0,864.0,1172.0,1269.0,1115.0,1075.0,1460.0,-1389.0,2017.0,1016.0,1163.0,821.0,1115.0,929.0,1103.0,1095.0,520.0,820.0,-1.0,977.0,828.0,871.0,448.0,762.0,902.0,953.0,969.0,988.0,646.0,864.0,990.0,935.0,871.0,821.0,776.0,924.0,566.0,830.0,955.0,831.0,868.0,445.0,102.0,698.0,547.0,723.0,720.0,77.0,666.0,675.0,812.0,710.0,681.0,599.0,739.0,670.0,817.0,321.0,194.5,544.1
ebitda,,2142.0,2613.0,2217.0,2195.0,1902.0,2592.0,2102.0,2572.0,2018.0,2381.0,1884.0,2124.0,1911.0,2290.0,2077.0,2004.0,1839.0,843.0,1550.0,1401.0,1354.0,522.0,1241.0,1421.0,1487.0,1435.0,1455.0,1408.0,1380.0,1437.0,1383.0,1455.0,1391.0,1236.0,1380.0,1347.0,1309.0,1304.0,1502.0,1449.0,1398.0,877.0,1188.0,1297.0,1324.0,1521.0,870.0,1006.0,1041.0,1131.0,1080.0,1061.0,1022.0,1169.0,1029.0,1032.0,655.0,1091.1,985.4999
ebit,1351.0,1485.0,1946.0,1542.0,1544.0,1236.0,1928.0,1436.0,1894.0,1382.0,1684.0,1147.0,1385.0,1167.0,1575.0,1355.0,1300.0,1131.0,159.0,1275.0,1193.0,1139.0,305.0,1025.0,1206.0,1277.0,1191.0,1218.0,1186.0,1160.0,1215.0,1153.0,1221.0,1159.0,982.0,1147.0,1089.0,1079.0,1056.0,1267.0,1224.0,1167.0,660.0,980.0,1080.0,1113.0,1196.0,689.0,879.0,892.0,963.0,942.0,924.0,882.0,1031.0,891.0,892.0,527.0,967.3999,869.8999
basic-shares-outstanding,1340.8,1340.8,1346.4,1342.8,1349.2,1352.7,1356.7,1354.0,1355.1,1361.9,1378.9,1372.2,1380.0,1392.2,1409.6,1406.6,1412.9,1418.1,1095.5,983.8,981.9,992.6,1002.1,998.3,998.9,1009.7,1019.3,1012.5,1019.4,1029.8,1053.9,1054.4,1058.1,1063.5,1077.4,1073.9,1080.1,1086.1,1106.3,1105.0,1106.8,1112.6,1121.9,1119.0,1124.5,1125.2,1133.0,1126.9,1133.1,1138.7,1149.7,1149.0,1149.3,1153.8,1204.5,1208.5,1208.6,1210.5,1209.0,1208.2
shares-outstanding,1351.4,1351.9,1357.5,1352.7,1360.9,1365.4,1368.2,1354.0,1365.8,1375.6,1391.4,1383.1,1392.5,1407.1,1425.9,1422.2,1428.8,1436.4,1109.0,995.8,993.0,1005.2,1013.6,1010.0,1009.4,1021.2,1027.5,1021.0,1027.8,1037.1,1059.9,1060.2,1063.1,1069.6,1081.7,1077.9,1083.7,1089.7,1109.4,1108.7,1109.2,1114.6,1126.3,1121.8,1130.7,1131.7,1143.8,1135.0,1147.7,1153.1,1161.8,1163.7,1159.4,1164.8,1217.3,1222.8,1222.5,1222.6,1220.8,1219.1
eps-basic-net-earnings-per-share,1.02,0.64,0.87,0.95,0.83,0.79,1.08,-1.03,1.49,0.75,0.84,0.6,0.81,0.67,0.78,0.78,0.37,0.58,-0.27,0.99,0.84,0.88,0.46,0.76,0.9,0.94,0.95,0.98,0.63,0.84,0.95,0.89,0.82,0.77,0.73,0.86,0.52,0.76,0.87,0.75,0.78,0.4,0.1,0.62,0.49,0.64,0.64,0.07,0.59,0.59,0.71,0.62,0.59,0.52,0.62,0.55,0.68,0.26,0.16,0.45
eps-earnings-per-share-diluted,1.01,0.64,0.86,0.94,0.82,0.79,1.08,-1.03,1.48,0.74,0.84,0.59,0.8,0.66,0.78,0.77,0.36,0.57,-0.27,0.98,0.83,0.87,0.45,0.75,0.89,0.93,0.94,0.97,0.63,0.83,0.94,0.88,0.82,0.77,0.72,0.86,0.52,0.76,0.86,0.75,0.78,0.4,0.1,0.62,0.48,0.64,0.63,0.07,0.58,0.59,0.7,0.61,0.59,0.51,0.61,0.55,0.67,0.26,0.16,0.45
