,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30
total-provision-income-taxes,10.903,-78.65,29.116,5.144,19.348,36.524,19.146,-113.654,1.239,35.515,29.16,34.348,26.437,42.112,32.339,13.748,29.945,30.647,32.059,33.633,24.221,19.35,17.027,32.064,18.335,23.605,17.634,-108.76,12.856,6.593,5.517,,0.0,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,102.276,261.898,85.201,159.47,149.316,92.321,45.991,232.207,63.526,105.604,86.511,116.689,89.828,114.502,75.812,82.761,87.96,88.113,70.7,81.611,25.768,43.586,-93.639,55.293,75.409,42.185,43.425,166.206,33.595,31.113,30.235,37.473,32.482,33.202,21.827,24.459,13.243,-6.388,1.464,5.653,-1.672,2.171,-12.988,-56.94,-28.809,-51.88,-46.71,-60.02,-19.359,-39.863,-19.584,,7.657,-24.134
income-from-discontinued-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.345,-0.386,-3.968,-2.554,,,,,,,,,,,,,,,,,,,,,,,
net-income,102.276,261.898,85.201,159.47,149.316,92.321,45.991,232.207,63.526,105.604,86.511,116.689,89.828,114.502,75.812,82.761,87.96,88.114,70.7,81.612,25.766,43.659,-92.65,55.293,75.409,42.185,43.425,200.551,33.209,27.145,27.681,37.473,32.482,33.202,21.827,24.459,13.243,-6.388,1.464,5.653,-1.672,2.171,-12.988,-56.94,-28.809,-51.88,-46.71,-60.02,-19.359,-39.863,-19.584,,7.657,-24.134
ebitda,211.788,337.55,148.415,246.759,250.837,275.787,102.146,208.699,144.687,200.086,170.55,276.834,95.637,203.403,151.693,138.4589,165.507,185.364,149.684,170.078,98.137,140.128,-65.35,120.5969,121.019,97.06,88.317,89.804,77.424,55.407,49.438,39.637,35.645,35.806,24.57,27.57,16.493,12.85,9.587,13.793,6.13,10.225,-5.121,-47.907,-23.647,-42.622,-41.163,-56.076,-15.178,-40.139,-16.859,,-18.041,-21.076
ebit,133.103,204.283,133.743,185.055,188.777,153.199,87.807,141.2049,86.454,165.043,136.14,165.504,136.253,168.735,121.162,106.6279,131.532,153.301,116.759,129.919,58.036,74.291,-66.659,94.499,100.56,77.066,68.187,67.378,55.3,39.427,35.739,37.664,33.704,33.859,22.604,25.535,14.443,10.582,7.229,11.41,3.709,8.034,-7.223,-51.719,-27.744,-47.094,-43.808,-58.744,-17.798,-42.753,-19.483,,-20.6,-21.076
basic-shares-outstanding,56.674,56.707,57.206,59.976,60.476,60.177,59.928,60.018,60.108,60.1,59.88,60.5,60.437,60.499,61.142,61.232,61.435,61.19,60.803,59.746,60.305,59.519,58.526,58.298,58.217,58.737,58.358,56.643,57.703,56.952,53.923,41.499,42.028,41.209,40.362,36.343,38.965,35.423,31.412,30.018,30.895,29.021,28.968,25.646,27.025,23.877,23.743,13.829,23.671,7.561,0.023,,0.012,0.011
shares-outstanding,57.438,57.427,58.081,61.221,61.857,61.438,61.178,61.317,61.436,61.463,61.178,61.87,61.795,62.043,62.616,63.036,63.154,63.09,62.964,62.614,62.68,62.378,58.526,61.569,61.519,61.568,61.511,60.195,60.883,60.554,58.084,46.798,47.241,46.601,45.697,39.411,41.737,35.423,34.926,30.018,30.895,29.023,28.968,25.646,27.025,23.877,23.743,13.829,23.671,7.561,0.023,,13.47,0.011
eps-basic-net-earnings-per-share,1.8,4.62,1.49,2.68,2.47,1.53,0.77,3.87,1.06,1.76,1.44,1.94,1.49,1.89,1.24,1.35,1.43,1.44,1.16,1.4,0.43,0.73,-1.58,0.95,1.3,0.72,0.74,3.52,0.58,0.48,0.51,0.89,0.77,0.81,0.54,0.69,0.34,-0.18,0.05,0.2,-0.05,0.07,-0.45,-1.98,-1.07,-2.17,-1.97,847.53,-0.82,-5.27,-851.48,,638.08,-2194.0
eps-earnings-per-share-diluted,1.78,4.56,1.47,2.64,2.41,1.5,0.75,3.8,1.03,1.72,1.41,1.9,1.45,1.85,1.21,1.32,1.39,1.4,1.12,1.4,0.41,0.7,-1.58,0.88,1.23,0.69,0.71,3.31,0.55,0.45,0.48,0.79,0.69,0.71,0.48,0.65,0.32,-0.18,0.04,0.2,-0.05,0.07,-0.45,-1.98,-1.07,-2.17,-1.97,847.53,-0.82,-5.27,-851.48,0.0,0.57,-2194.0
