,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31
total-provision-income-taxes,-0.383,-0.178,-3.123,-0.826,-1.377,-0.948,-90.424,57.48,-1.398,-1.696,-0.701,-0.195,,,1.186,35.323,-0.017,-0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-56.762,-108.071,-49.774,-47.328,-73.864,-32.574,48.444,-2.061,-14.187,-23.064,-17.857,15.89,-43.306,-15.65,-23.476,-0.939,-10.958,-10.438,-8.505,-7.605,-8.454,-10.093,-11.296,-3.356,-4.737,-2.522,-1.7545,-1.2412,-0.9431,-0.9061,-0.7621,-0.7023,-1.0876,-0.6844,-0.1881,-0.4448,-0.5756,-0.5999,-0.6859,-0.2319,-0.0244,,0.0052,-0.0123,-0.0054,-0.0132,-0.0074,-0.0106,-0.0126,-0.2399
ebitda,-45.985,-118.322,-40.823,-43.527,-25.931,-30.54,-32.968,99.084,-11.519,-21.706,-16.14,-12.127,-44.156,-21.469,-17.127,-35.225,-9.929,-9.354,-8.934,-6.326,-7.198,-9.1,-10.478,-2.998,-4.491,-2.411,-1.6722,-1.1662,-0.8754,-0.8451,-0.7081,-0.6567,-1.0458,-0.6727,-0.1823,-0.4391,-0.5702,-0.5972,-0.6899,-0.2387,-0.0256,,0.0052,-0.0123,-0.0054,-0.0132,-0.0074,-0.0106,-0.0126,-0.2099
ebit,-50.361,-123.17,-41.601,-47.907,-28.371,-32.546,-34.798,96.917,-13.458,-23.326,-17.802,-12.249,-44.712,-22.014,-17.66,-35.635,-10.533,-10.177,-9.746,-7.131,-7.991,-9.874,-11.13,-3.307,-4.717,-2.514,-1.7562,-1.2433,-0.9449,-0.9076,-0.7633,-0.7037,-1.0894,-0.6861,-0.1887,-0.4455,-0.5765,-0.6014,-0.6899,-0.2387,-0.0256,,0.0052,-0.0123,-0.0054,-0.0132,-0.0074,-0.0106,-0.0126,-0.2099
basic-shares-outstanding,122.549,122.281,106.15,117.021,100.563,84.941,69.742,76.887,70.302,50.886,50.36,66.193,46.498,37.965,36.909,37.328,36.315,36.206,26.679,28.533,25.341,23.051,15.046,14.135,13.443,12.312,11.405,11.964,11.225,260.893,248.048,247.686,,246.902,220.85,230.301,219.836,219.373,152.094,169.647,116.232,102.119,101.937,101.937,7.93,7.93,6.411,7.93,79.302,19.199
shares-outstanding,132.459,122.281,106.15,117.021,100.563,84.941,70.381,76.888,70.302,50.886,50.36,66.527,46.498,37.965,36.909,37.328,36.315,36.206,26.679,28.533,25.341,23.051,15.046,14.135,13.443,12.312,11.405,11.964,11.225,260.893,248.048,247.686,,246.902,220.85,230.301,219.836,219.373,152.094,169.647,116.232,102.119,101.937,101.937,7.93,7.93,6.411,7.93,79.302,19.199
eps-basic-net-earnings-per-share,-0.46,-0.88,-0.41,-0.4,-0.73,-0.38,0.81,-0.03,-0.2,-0.45,-0.11,0.24,-0.93,-0.41,-0.62,-0.03,-0.3,-0.29,-0.26,-0.27,-0.33,-0.44,-0.67,-0.24,-0.35,-0.2,-0.24,-0.1,-0.08,0.0,-0.0044,-0.0028,,-0.0028,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0298,0.0,-0.0002,-0.01
eps-earnings-per-share-diluted,-0.47,-0.88,-0.41,-0.4,-0.73,-0.38,0.81,-0.03,-0.2,-0.45,-0.11,0.24,-0.93,-0.41,-0.62,-0.03,-0.3,-0.29,-0.26,-0.27,-0.33,-0.44,-0.67,-0.24,-0.35,-0.2,-0.24,-0.1,-0.08,0.0,-0.0044,-0.0028,0.0,-0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0298,0.0,-0.0002,-0.01
