,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-11-30,2012-09-30,2012-08-31,2012-06-30,2012-05-31,2012-03-31,2012-02-29,2011-12-31,2011-11-30,2011-09-30,2011-08-31,2011-06-30,2011-05-31,2011-03-31
total-provision-income-taxes,-0.523,0.069,0.401,,0.415,0.167,0.229,6.58,-1.223,-1.925,-2.064,-3.684,6.467,-7.392,-5.07,-10.525,38.761,0.015,-40.021,-0.0004,,-2.525,0.0654,,,,,,,,,,,,,,,0.0,,0.0,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,
net-income,-36.49,-38.701,-40.977,-7.455,-54.516,-22.329,-18.378,-17.618,-17.794,-13.229,-11.09,-8.603,-37.113,-13.403,11.216,-2.469,105.578,-25.527,39.655,-29.0274,-17.98,11.805,-75.7357,-13.81,-10.8978,-5.0485,-4.8687,-22.0081,-0.0037,-8.4805,-0.0035,-4.7602,-0.0035,-3.572,,-3.2578,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035
ebitda,-26.796,-54.951,-5.711,1.945,-30.028,-16.301,-13.208,-10.147,-5.163,-8.846,-9.837,-13.631,-15.925,-6.972,-3.798,-10.666,-11.74,-2.679,-5.823,-16.3263,-19.506,-15.5562,-21.9345,-12.5761,-5.1007,-5.0468,-1.8334,-18.1838,-0.0037,-8.424,-0.0035,-4.7023,-0.0035,-3.5581,,-3.2528,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035
ebit,-34.437,-36.529,-38.228,-4.985,-35.583,-21.56,-17.912,-15.177,-10.608,-13.598,-14.408,-18.222,-20.372,-11.379,-8.241,-15.204,-20.496,-6.944,-8.104,-18.6973,-21.867,-17.182,-22.0617,-12.633,-5.1545,-5.0999,-1.8856,-26.6916,-0.0037,-8.4597,-0.0035,-4.7397,-0.0035,-3.5585,,-3.2532,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035
basic-shares-outstanding,42.944,41.958,41.41,40.433,40.717,40.061,39.657,38.77,38.654,39.041,38.045,36.998,36.98,36.683,36.52,33.56,35.742,34.957,27.158,25.058,26.683,25.635,23.335,14.205,15.3656,12.254,10.697,3.662,0.1067,3.5104,0.1067,3.065,0.1067,2.502,,2.053,0.1067,,0.1067,,0.1067,
shares-outstanding,42.944,41.958,41.41,40.433,40.717,40.061,39.657,38.77,38.654,39.041,39.159,38.288,36.98,36.683,37.947,37.581,42.753,34.957,30.381,25.058,28.21,27.326,23.335,14.205,15.3656,12.254,10.697,3.662,0.1067,3.5104,0.1067,3.065,0.1067,2.502,,2.053,0.1067,,0.1067,,0.1067,
eps-basic-net-earnings-per-share,-0.85,-0.92,-0.99,-0.18,-1.34,-0.56,-0.46,-0.45,-0.46,-0.34,-0.29,-0.23,-1.0,-0.37,0.31,-0.19,2.95,-0.73,1.46,-0.97,-0.67,0.46,-3.25,-0.86,-0.71,-0.41,-0.46,-6.68,-0.03,-2.42,-0.03,-1.55,-0.03,-1.43,,-1.5,-0.03,,-0.03,,-0.03,
eps-earnings-per-share-diluted,-0.85,-0.92,-0.99,-0.18,-1.34,-0.56,-0.46,-0.42,-0.46,-0.34,-0.32,0.16,-1.0,-0.37,-0.08,0.8,1.78,-0.73,1.32,0.43,-0.84,-0.77,-3.25,-0.86,-0.71,-0.41,-0.46,-6.68,-0.03,-2.42,-0.03,-1.55,-0.03,-1.43,0.0,-1.5,-0.03,0.0,-0.03,0.0,-0.03,0.0
