,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30
total-provision-income-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,-2.944,,,-0.143,-0.153,,,,0.0
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
income-from-continuous-operations,20.648,12.283,-59.284,-63.264,-151.823,-24.137,-43.144,12.085,-32.297,-44.224,-52.501,-13.505,-33.204,-21.702,-13.297,-14.037,-47.39,-48.02,-33.222,-37.647,-41.988,-60.357,-49.626,-51.986,-61.775,-65.149,-93.902,-43.855,47.635,-40.803,-35.601,-6.974,-20.633,-18.844,-18.401,-11.651,-13.114,-17.165,-14.481,-14.503,-8.178,-18.917,-18.4,,0.0
income-from-discontinued-operations,,,,,-22.528,-25.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.367,-0.044,-1.772,-10.071,-3.243,,,,0.0
net-income,20.648,12.283,-59.284,-15.493,-174.351,-49.38,-43.144,12.085,-32.297,-44.224,-52.501,-13.505,-33.204,-21.702,-13.297,-14.037,-47.39,-48.02,-33.222,-37.647,-41.988,-60.357,-49.626,-51.986,-61.775,-65.149,-93.902,-43.855,47.635,-40.803,-35.601,-6.974,-20.633,-18.844,-18.401,-11.651,-8.27,-17.136,-15.924,-23.93,-10.902,-18.385,-17.968,,
ebitda,69.061,21.874,-53.13,-38.829,-144.436,-10.802,-30.602,28.042,-15.773,-38.662,-36.375,-6.836,-22.876,-11.763,0.865,-3.028,-23.397,-38.857,-25.176,-30.173,-33.571,-52.087,-41.208,-43.656,-53.481,-57.091,-86.045,-41.097,50.64,-38.024,-32.956,-4.356,-19.33,-16.048,-16.409,-10.879,-14.638,-15.872,-13.216,-14.181,-7.299,-17.238,-17.335,,
ebit,65.887,21.577,-54.372,-41.776,-146.571,-14.677,-35.868,22.765,-19.434,-41.011,-39.705,-6.3,-28.287,-15.315,-1.968,-5.827,-26.185,-42.009,-28.067,-33.125,-36.739,-55.119,-44.387,-46.738,-56.551,-59.88,-88.833,-43.9,47.608,-40.834,-35.636,-7.032,-21.616,-18.952,-18.542,-12.795,-16.165,-17.31,-14.496,-15.382,-8.287,-18.577,-18.57,,
basic-shares-outstanding,156.436,155.849,154.956,152.634,153.227,152.163,151.013,148.993,149.502,148.778,147.786,144.928,145.18,144.642,143.593,142.155,142.473,142.098,141.278,136.811,139.234,138.315,129.745,115.852,120.769,113.441,108.073,106.403,107.267,107.078,103.751,99.875,100.174,99.675,99.0752,89.653,97.926,97.642,63.958,7.117,7.118,7.036,7.007,,
shares-outstanding,156.436,155.849,154.956,152.634,153.227,152.163,151.013,148.993,149.502,148.778,147.786,144.928,145.18,144.642,143.593,142.155,142.473,142.098,141.278,136.811,139.234,138.315,129.745,115.852,120.769,113.441,108.073,106.403,114.337,107.078,103.751,99.875,100.174,99.675,99.0752,89.653,97.926,97.642,63.958,7.117,7.118,7.036,7.007,,
eps-basic-net-earnings-per-share,0.13,0.08,-0.38,-0.1,-1.14,-0.32,-0.29,0.1,-0.22,-0.3,-0.36,-0.09,-0.23,-0.15,-0.09,-0.09,-0.33,-0.34,-0.24,-0.27,-0.3,-0.44,-0.38,-0.4,-0.51,-0.57,-0.87,-0.4,0.44,-0.38,-0.34,-0.06,-0.21,-0.19,-0.19,-0.08,-0.08,-0.18,-0.25,-3.3,-1.53,-2.61,-2.56,,
eps-earnings-per-share-diluted,0.13,0.08,-0.38,-0.1,-1.14,-0.32,-0.29,0.1,-0.22,-0.3,-0.36,-0.09,-0.23,-0.15,-0.09,-0.09,-0.33,-0.34,-0.24,-0.27,-0.3,-0.44,-0.38,-0.4,-0.51,-0.57,-0.87,-0.38,0.42,-0.38,-0.34,-0.06,-0.21,-0.19,-0.19,-0.08,-0.08,-0.18,-0.25,-3.3,-1.53,-2.61,-2.56,0.0,0.0
