,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-10-31,2012-09-30,2012-07-31,2012-06-30,2012-04-30,2012-03-31,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
total-provision-income-taxes,-0.239,0.017,0.221,-0.221,0.147,0.101,0.184,0.273,0.045,0.175,,,,,,,,,,,,,-0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-20.434,-20.815,-21.721,-22.191,-22.098,-23.225,-20.812,-16.296,-17.075,-16.457,-14.2,-16.135,-17.299,-17.866,-15.074,-13.163,-11.186,-12.252,-8.897,-8.765,-8.814,-8.152,-5.202,-5.159,-3.797,-3.777,-2.549,,-1.6651,-3.8363,,-1.1238,-0.3884,-0.2995,-0.3232,-0.4303,,-0.124,-0.0264,0.0673,,-0.3611,-0.3831,-0.412,,-0.2089,-0.1543,-0.2241,,-0.3708,-0.3402,-0.4871,,-0.4765,-0.4564,-0.5393,,-0.7889,-0.7855,-0.772,,-0.5628,-0.3147
ebitda,-14.58,-15.161,-15.989,-16.835,-16.713,-17.927,-20.105,-15.516,-16.683,-15.782,-13.681,-15.303,-16.687,-17.196,-14.59,-12.532,-10.691,-11.81,-8.536,-7.915,-8.453,-7.929,-5.536,-4.996,-3.693,-3.688,-2.495,,-1.6496,-1.8926,,-0.9784,-0.243,-0.29,-0.3165,-0.3023,,-0.0698,0.017,0.1138,,-0.2533,-0.3286,-0.2887,,-0.1581,0.0177,-0.0291,,-0.2959,-0.21,-0.4634,,-0.3603,-0.4229,-0.5389,,-0.6859,-0.7713,-0.6582,,-0.528,-0.1983
ebit,-17.653,-18.087,-18.822,-19.759,-19.369,-20.415,-20.826,-16.136,-17.315,-16.423,-14.31,-16.024,-17.416,-17.889,-15.172,-13.163,-11.207,-12.268,-8.911,-8.251,-8.827,-8.165,-5.747,-5.186,-3.797,-3.778,-2.55,,-1.6768,-1.8391,,-1.1457,-0.4102,-0.3172,-0.3436,-0.4299,,-0.1338,-0.0476,0.05,,-0.3855,-0.3924,-0.4234,,-0.2257,-0.1169,-0.178,,-0.3683,-0.3589,-0.5385,,-0.5205,-0.498,-0.6173,,-0.8441,-0.8497,-0.8193,,-0.5945,-0.3595
basic-shares-outstanding,54.553,54.476,54.337,54.494,54.145,54.003,55.64,54.073,55.316,53.568,51.887,51.276,51.239,51.213,51.196,44.998,44.727,44.678,44.65,43.626,44.583,43.477,41.895,37.599,39.876,38.941,29.134,,25.262,25.005,,11.776,11.103,11.103,11.103,11.103,,10.705,10.757,10.757,,10.452,10.226,10.226,,10.226,10.2262,10.2262,,10.0966,9.971,9.9712,,9.971,9.971,9.9712,,9.9712,9.9712,9.9712,,9.9612,9.9612
shares-outstanding,54.553,54.476,54.337,54.494,54.145,54.003,55.64,54.073,55.316,53.568,51.887,51.276,51.239,51.213,51.196,44.998,44.727,44.678,44.65,43.626,44.583,43.477,41.895,37.599,39.876,38.941,29.134,,25.262,25.005,,11.776,11.103,11.103,11.103,11.103,,10.705,10.757,10.757,,10.452,10.226,10.226,,10.226,10.2262,10.2262,,10.0966,9.971,9.9712,,9.971,9.971,9.9712,,9.9712,9.9712,9.9712,,9.9612,9.9612
eps-basic-net-earnings-per-share,-0.37,-0.38,-0.4,-0.41,-0.41,-0.43,-0.37,-0.29,-0.31,-0.31,-0.27,-0.31,-0.34,-0.35,-0.29,-0.29,-0.25,-0.27,-0.2,-0.2,-0.2,-0.19,-0.12,-0.12,-0.1,-0.1,-0.09,,-0.07,-0.15,,-0.095,-0.03,-0.03,-0.03,-0.04,,-0.01,0.0,0.01,,-0.03,-0.04,-0.04,,-0.02,-0.02,-0.02,,-0.04,-0.03,-0.05,,-0.05,-0.05,-0.05,,-0.08,-0.08,-0.08,,-0.06,-0.03
eps-earnings-per-share-diluted,-0.37,-0.38,-0.4,-0.41,-0.41,-0.43,-0.37,-0.29,-0.31,-0.31,-0.27,-0.31,-0.34,-0.35,-0.29,-0.29,-0.25,-0.27,-0.2,-0.2,-0.2,-0.19,-0.12,-0.12,-0.1,-0.1,-0.09,0.0,-0.07,-0.15,0.0,-0.095,-0.03,-0.03,-0.03,-0.04,0.0,-0.01,0.0,0.01,0.0,-0.03,-0.04,-0.04,0.0,-0.02,-0.02,-0.02,0.0,-0.04,-0.03,-0.05,0.0,-0.05,-0.05,-0.05,0.0,-0.08,-0.08,-0.08,0.0,-0.06,-0.03
