,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31
total-provision-income-taxes,-0.35,-0.176,-0.16,0.888,0.013,-0.033,-0.26,-0.98,-1.234,-1.281,-0.083,1.433,-0.227,-29.059,-4.181,-28.568,-0.628,0.018,0.102,-0.181,0.292,0.068,2.129,,0.0,,,0.0,,-0.035,0.008,0.02,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
net-income,-94.075,-120.427,-86.421,-99.261,-89.864,-101.19,-77.694,-51.883,-60.664,-175.386,-58.464,-70.728,-65.695,-129.314,-83.4,-119.541,-98.645,-71.531,-63.144,-54.907,-39.642,-34.764,-30.718,-29.203,-20.32,-19.341,-15.668,-21.059,-18.268,-15.657,-18.999,-14.908,-13.835,-18.499,-8.328,,
ebitda,-103.973,-91.625,-82.961,-93.955,-87.145,-76.659,-67.931,-61.94,-59.815,-56.748,-54.991,-66.557,-63.38,-51.469,-84.294,-56.752,-96.409,-67.35,-63.287,-53.441,-40.905,-34.886,-25.006,-28.429,-20.313,-19.247,-15.528,-20.971,-18.127,-15.428,-18.903,-14.453,-13.233,-18.34,-8.404,,
ebit,-106.429,-93.459,-85.199,-96.967,-89.162,-79.013,-68.672,-63.204,-60.527,-57.739,-56.161,-67.136,-64.0,-156.646,-84.951,-146.908,-97.252,-68.336,-64.225,-53.89,-41.12,-34.966,-28.483,-28.494,-20.375,-19.308,-15.59,-21.055,-18.22,-15.52,-18.987,-14.5,-13.28,-18.384,-8.446,,
basic-shares-outstanding,54.707,53.028,52.891,52.066,52.669,52.223,50.602,47.047,48.917,45.176,44.039,38.478,38.538,38.389,38.36,36.026,37.613,34.088,34.011,33.889,33.921,33.872,33.82,28.672,30.047,26.717,26.034,24.915,25.906,25.744,22.041,11.498,1.289,1.292,1.254,,
shares-outstanding,54.707,53.028,52.891,52.066,52.669,52.223,50.602,47.047,48.917,45.176,44.039,38.478,38.538,38.389,38.36,36.026,37.613,34.088,34.011,33.889,33.921,33.872,33.82,28.672,30.047,26.717,26.034,24.915,25.906,25.744,22.041,11.498,1.289,1.292,1.254,,
eps-basic-net-earnings-per-share,-1.72,-2.27,-1.63,-1.88,-1.71,-1.94,-1.54,-0.91,-1.24,-3.88,-1.33,-1.83,-1.7,-3.37,-2.17,-3.21,-2.62,-2.1,-1.86,-1.61,-1.17,-1.03,-0.91,-0.95,-0.68,-0.72,-0.6,-0.79,-0.71,-0.61,-0.86,-1.3,-10.73,-14.32,-6.64,,
eps-earnings-per-share-diluted,-1.72,-2.27,-1.63,-1.88,-1.71,-1.94,-1.54,-0.91,-1.24,-3.88,-1.33,-1.83,-1.7,-3.37,-2.17,-3.21,-2.62,-2.1,-1.86,-1.61,-1.17,-1.03,-0.91,-0.95,-0.68,-0.72,-0.6,-0.79,-0.71,-0.61,-0.86,-1.3,-10.73,-14.32,-6.64,0.0,0.0
