,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
total-provision-income-taxes,-0.26,-0.162,-0.176,-0.277,-2.613,-1.22,1.035,-0.208,0.533,1.055,1.727,1.523,2.926,1.362,1.152,1.415,1.929,1.48,1.47,1.858,1.729,1.212,1.466,1.864,1.122,0.918,1.877,1.962,1.758,1.244,1.213,0.872,1.524,1.763,1.445,-1.575,1.098,-0.241,1.148,1.49,1.916,2.401,16.167,2.24,3.01,3.258,3.645,1.161,3.132,3.582,3.446,4.145,4.207,3.789,3.09,2.163,3.522,3.538
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,1.466,1.262,1.31,-1.753,-2.682,1.534,-1.556,0.4,0.72,0.506,2.3,2.577,3.934,0.821,2.653,1.358,3.924,3.051,3.614,2.444,3.674,2.459,3.63,3.733,3.178,3.42,4.248,2.854,3.174,1.946,2.155,2.19,3.051,2.824,2.86,-21.663,-0.916,-0.427,1.917,2.71,3.539,4.216,27.085,-0.814,4.8,5.107,5.646,-13.907,5.587,5.675,5.992,6.293,6.358,1.465,6.218,4.793,6.095,-24.371
income-from-discontinued-operations,,,,,,,,,,,,,,,,,,,,-0.1,-0.076,,,-0.047,-0.047,0.682,,-0.114,-0.112,-0.223,0.551,-20.855,0.791,-0.336,-9.031,,,,,,,,,,,,,,,,,,,,,,,
net-income,1.466,1.262,1.31,-1.753,-2.682,1.534,-1.556,0.4,0.72,0.506,2.3,2.577,3.934,0.821,2.653,1.358,3.924,3.051,3.614,2.344,3.598,2.459,3.63,3.686,3.131,4.102,4.248,2.74,3.062,1.723,2.706,-18.665,3.842,2.488,-6.171,-21.663,-0.916,-0.427,1.917,2.71,3.539,4.216,27.085,-0.814,4.8,5.107,5.646,-13.907,5.587,5.675,5.992,6.293,6.358,1.465,6.218,4.793,6.095,-24.371
ebitda,2.904,2.684,2.468,-0.721,-4.645,2.111,0.887,2.391,3.139,3.005,4.55,5.253,8.003,3.628,4.848,4.988,6.551,4.638,5.717,6.095,6.007,4.163,5.026,6.288,4.966,4.853,5.599,5.353,5.527,4.431,3.991,3.72,5.066,5.044,4.945,-20.392,4.351,1.189,4.547,5.568,6.049,7.559,44.376,6.929,8.726,8.688,9.059,-12.556,8.12,8.623,8.538,9.558,9.49,9.833,9.458,7.331,9.963,-20.21
ebit,1.017,0.865,0.712,-2.441,-6.25,0.525,-0.633,0.415,1.743,1.677,3.268,4.083,6.597,2.24,3.939,4.266,5.857,3.932,5.034,5.434,5.333,3.48,4.329,5.576,4.238,4.129,4.877,4.638,4.793,3.689,3.222,2.933,4.257,4.212,4.121,-18.089,2.22,-0.952,2.768,3.973,4.661,6.2,42.667,5.325,7.184,7.181,7.571,-13.813,7.518,8.085,8.109,9.167,9.463,8.953,8.58,6.347,9.148,-21.148
basic-shares-outstanding,13.394,13.39,13.367,13.157,13.203,13.102,13.064,13.153,13.155,13.22,13.2,12.998,12.995,12.969,12.966,13.029,13.002,12.944,13.225,13.632,13.585,13.538,13.756,14.464,14.413,14.622,14.655,17.318,17.528,17.519,17.476,17.419,17.437,17.407,17.383,17.374,17.36,17.369,17.396,17.435,17.356,17.32,17.683,18.026,18.073,18.102,18.015,18.033,17.815,18.017,18.456,18.527,18.57,18.481,18.436,18.131,18.322,18.135
shares-outstanding,13.726,13.785,13.827,13.157,13.203,13.465,13.064,13.389,13.385,13.428,13.446,13.219,13.284,13.19,13.186,13.289,13.279,13.207,13.423,13.876,13.813,13.824,14.009,14.731,14.739,14.914,14.863,17.431,17.647,17.632,17.528,17.462,17.529,17.471,17.397,17.374,17.36,17.369,17.44,17.469,17.379,17.349,17.747,18.33,18.322,18.428,18.428,18.217,17.968,18.133,18.556,18.719,18.725,18.649,18.643,18.131,18.928,18.135
eps-basic-net-earnings-per-share,0.11,0.09,0.1,-0.14,-0.2,0.12,-0.12,0.04,0.05,0.04,0.17,0.21,0.3,0.06,0.2,0.11,0.3,0.24,0.27,0.18,0.26,0.18,0.26,0.26,0.22,0.28,0.29,0.17,0.17,0.1,0.15,-1.06,0.22,0.14,-0.36,-1.25,-0.05,-0.02,0.11,0.18,0.2,0.24,1.53,-0.04,0.27,0.28,0.31,-0.75,0.31,0.31,0.32,0.34,0.34,0.08,0.34,-2.42,0.33,1.34
eps-earnings-per-share-diluted,0.11,0.09,0.09,-0.13,-0.2,0.11,-0.12,0.03,0.05,0.04,0.17,0.2,0.3,0.06,0.2,0.1,0.3,0.23,0.27,0.17,0.26,0.18,0.26,0.25,0.21,0.28,0.29,0.17,0.17,0.1,0.15,-1.07,0.22,0.14,-0.35,-1.25,-0.05,-0.02,0.11,0.18,0.2,0.24,1.53,-0.05,0.26,0.28,0.31,-0.76,0.31,0.31,0.32,0.34,0.34,0.08,0.33,-2.4,0.32,1.34
