,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30
total-provision-income-taxes,0.038,0.038,0.086,0.033,0.033,0.033,0.033,0.033,0.033,0.02,0.018,0.024,0.024,0.035,0.011,0.023,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
net-income,-5.78,1.469,0.672,0.492,-2.888,3.718,0.365,-0.413,-1.977,0.772,-1.749,1.043,-1.858,-4.884,-22.716,-15.163,-13.261,-8.669,-10.656,-5.273,-8.224,-9.628,-9.712,-8.658,-7.292,-6.841,-6.219,-5.767,-5.21,-4.605,-4.191,-4.135,-3.859,-2.483,-2.384,-1.99,-4.268,-4.401,-6.518,-6.785,-6.2,-5.635,21.949,,-13.699,-18.73,-24.827,,-12.303,45.49,-8.552,,-5.807,-8.862,-10.355,-13.079,-10.021,-8.429
ebitda,-5.053,2.026,1.439,1.215,-2.114,4.626,1.479,0.821,-0.758,2.205,-0.767,2.065,-0.91,-3.783,-21.808,-14.306,-12.263,-7.524,-10.101,-4.868,-7.823,-9.082,-9.277,-7.064,-6.562,-6.36,-5.278,-4.844,-5.023,-3.771,-3.559,-3.447,-2.885,-0.733,-1.82,-1.902,-3.663,-4.087,-5.941,-6.296,-5.719,-5.223,-5.878,,-13.44,0.413,-9.291,,-12.449,56.038,-10.057,,-6.322,-7.627,-8.046,,-7.093,
ebit,-5.933,1.252,0.507,0.384,-2.968,3.772,0.489,-0.275,-1.752,1.002,-1.759,1.082,-1.867,-4.972,-22.726,-15.143,-13.236,-8.553,-10.642,-5.252,-8.19,-9.554,-9.593,-7.495,-6.847,-6.681,-5.41,-5.122,-5.206,-3.986,-3.721,-3.659,-3.1,-0.906,-1.992,-2.017,-3.894,-4.292,-6.169,-6.511,-5.927,-5.566,-6.486,,-13.614,,-9.291,,-13.639,,-10.057,,-7.362,-7.955,-8.046,,-8.089,
basic-shares-outstanding,33.87,33.536,33.6,33.508,33.425,33.145,33.238,33.112,32.969,32.374,32.651,32.19,32.985,32.538,32.711,32.554,32.211,31.548,31.645,31.487,31.311,28.296,30.369,27.178,24.7514,21.686,21.4889,20.699,20.397,18.036,17.978,17.781,17.4869,15.916,16.1467,15.827,15.369,14.7483,14.879,14.652,14.517,8.069,8.344,,4.977,2.7029,4.553,,2.678,2.6677,2.6621,,2.5748,0.153,0.1435,0.1177,0.1058,0.1013
shares-outstanding,33.87,33.536,34.241,34.121,33.425,33.614,33.642,33.112,32.969,32.374,32.651,32.804,32.985,32.538,32.711,32.554,32.211,31.548,31.645,31.487,31.311,28.296,30.369,27.178,24.7514,21.686,21.489,20.699,20.397,18.036,17.978,17.781,17.4869,15.916,16.1467,15.827,15.369,14.7483,14.879,14.652,14.517,8.069,12.049,,4.977,2.7029,4.553,,2.678,2.7651,2.6621,,2.5748,0.153,0.1435,0.1177,0.1058,0.1013
eps-basic-net-earnings-per-share,-0.17,0.05,0.02,0.01,-0.09,0.11,0.01,-0.01,-0.06,0.02,-0.05,0.03,-0.06,-0.15,-0.69,-0.47,-0.41,-0.27,-0.34,-0.17,-0.26,-0.32,-0.32,-0.32,-0.29,-0.28,-0.29,-0.28,-0.26,-0.25,-0.23,-0.23,-0.22,-0.14,-0.15,-0.13,-0.28,-0.29,-0.44,-0.46,-0.43,1.33,2.63,,-2.75,-6.9,-5.45,,-4.6,17.1,-3.2,,-2.3,-57.9,-72.1,-133.7,-94.7,-83.1
eps-earnings-per-share-diluted,-0.17,0.05,0.02,0.01,-0.09,0.11,0.01,-0.01,-0.06,0.02,-0.05,0.03,-0.06,-0.15,-0.69,-0.47,-0.41,-0.27,-0.34,-0.17,-0.26,-0.32,-0.32,-0.32,-0.29,-0.28,-0.29,-0.28,-0.26,-0.25,-0.23,-0.23,-0.22,-0.14,-0.15,-0.13,-0.28,-0.29,-0.44,-0.46,-0.43,4.28,-0.32,0.0,-2.75,-6.9,-5.45,0.0,-4.6,16.5,-3.2,0.0,-2.3,-57.9,-72.1,-133.7,-94.7,-83.1
