,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-11-30,2008-09-30,2008-08-31,2008-06-30,2008-05-31,2008-03-31,2008-02-29,2007-11-30,2007-08-31,2007-05-31,2007-02-28,2006-11-30,2006-08-31,2006-05-31,2006-02-28,2005-11-30,2005-08-31,2005-05-31,2005-02-28
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,13.92,18.137,4.214,28.526,25.357,22.683,21.336,8.623,19.886,17.24,15.481,12.122,4.799,19.962,19.208,22.831,12.96,10.756,-2.913,50.976,1.973,-0.517,-9.596,-5.29,1.799,-1.101,-3.949,0.604,5.028,5.057,-2.665,-177.07,9.464,5.778,4.135,15.554,10.524,11.838,9.414,7.509,8.802,8.876,-14.813,,12.581,15.623,,16.325,13.974,10.203,12.454,11.183,,10.792,11.024,11.834,,9.335,7.333,6.456,,8.536,8.441
income-from-discontinued-operations,,,,,,0.901,,-0.141,6.519,-3.673,-0.22,-5.222,49.075,-195.454,-33.105,-42.21,-22.103,-10.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,13.857,18.137,4.214,28.526,25.357,23.584,21.336,8.482,26.405,13.567,15.261,6.9,53.794,-175.596,-14.209,-19.428,-9.026,0.42,-2.913,2.579,1.973,-0.517,-9.596,-5.29,1.799,-1.101,-3.949,0.604,5.028,5.057,-2.665,-177.07,9.464,5.778,4.135,15.554,10.524,11.838,9.414,7.509,8.802,8.876,-14.813,,12.581,15.623,,16.325,13.974,10.203,12.454,11.183,,10.792,11.024,11.834,,9.335,7.333,6.456,,8.536,8.441
ebitda,53.686,61.17,22.119,33.7581,36.654,37.592,35.636,29.828,38.451,34.436,31.926,28.656,30.215,39.137,38.439,58.593,40.843,36.357,14.645,102.402,23.13,19.373,4.928,12.5269,21.175,14.771,11.045,18.6219,25.257,27.355,11.679,-160.196,32.91,26.358,23.696,42.898,33.861,35.308,33.292,29.2161,31.718,32.015,31.461,,38.343,35.145,,55.775,51.788,34.353,38.258,41.817,,33.565,42.007,27.042,,27.266,19.356,22.188,,20.398,25.652
ebit,41.599,49.913,17.248,32.501,35.399,33.834,31.947,26.288,34.492,30.93,28.686,25.173,22.758,24.138,23.313,42.958,26.297,21.876,-0.216,87.07,7.572,3.702,-10.501,-2.9971,6.114,1.508,-2.723,4.9139,11.791,13.119,-0.929,-173.304,19.966,13.438,10.786,29.331,20.609,21.494,19.342,15.692,19.372,19.676,18.863,,26.243,31.378,,32.948,28.961,22.253,26.158,24.327,,23.133,24.517,20.104,,15.765,12.418,10.961,,14.4,14.425
basic-shares-outstanding,47.923,47.79,42.745,40.078,40.01,39.899,39.783,39.357,39.443,39.246,39.069,36.999,37.037,36.172,36.109,35.832,35.939,35.734,35.595,35.302,35.351,35.285,35.151,34.489,34.682,34.188,34.018,33.597,33.683,33.424,33.346,33.677,33.534,33.942,33.975,34.129,34.231,34.117,33.955,33.73,33.745,33.689,33.669,,33.612,33.599,,33.797,34.593,36.035,36.031,35.717,,35.133,34.958,34.627,,34.517,34.321,33.961,,33.221,33.073
shares-outstanding,48.584,48.461,43.183,43.073,42.827,43.284,43.589,42.547,43.527,42.369,40.541,38.075,38.421,37.227,36.861,36.854,36.514,36.881,35.595,35.302,36.477,35.285,35.151,34.489,35.834,34.188,34.018,33.836,34.068,33.525,33.346,33.677,34.178,34.79,34.69,34.902,34.964,34.933,34.919,34.359,34.481,34.186,33.669,,34.068,34.567,,35.167,35.971,37.73,37.911,37.69,,37.07,36.935,36.608,,36.515,36.3,35.973,,35.702,35.49
eps-basic-net-earnings-per-share,0.29,0.38,0.1,0.71,0.63,0.59,0.54,0.21,0.67,0.35,0.39,0.3,1.45,-4.85,-0.39,-0.54,-0.25,0.01,-0.08,0.06,0.06,-0.01,-0.27,-0.15,0.05,-0.03,-0.12,0.02,0.15,0.15,-0.08,-5.25,0.28,0.17,0.12,0.45,0.31,0.35,0.28,0.23,0.26,0.26,-0.44,,0.37,0.46,,0.48,0.4,0.28,0.35,0.31,,0.31,0.32,0.34,,0.27,0.21,0.19,,2.6,0.26
eps-earnings-per-share-diluted,0.29,0.37,0.1,0.67,0.59,0.54,0.49,0.19,0.61,0.32,0.38,0.32,1.4,-4.72,-0.39,-0.511,-0.25,0.001,-0.08,0.08,0.05,-0.01,-0.27,-0.15,0.05,-0.03,-0.12,0.02,0.15,0.15,-0.08,-5.25,0.28,0.17,0.12,0.45,0.3,0.34,0.27,0.22,0.26,0.26,-0.44,0.0,0.37,0.45,0.0,0.46,0.39,0.27,0.33,0.3,0.0,0.29,0.3,0.32,0.0,0.26,0.2,0.18,0.0,0.24,0.24
