,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,0.852,1.402,4.378,9.893,1.659,-1.691,-6.569,-6.86,-2.227,-7.767,-9.977,-9.153,-3.017,-4.351,-10.689,-15.908,-17.985,-17.267,-10.442,-1.84,-10.845,-29.111,-6.144,-2.5,-21.29,-10.519,-10.665,-10.194,-12.417,-14.476,-14.78,-14.337,-13.562,-8.084,-9.848,-20.857,-12.1,-13.711,-14.491,-15.538,-16.922,-20.239,-19.645,-29.197,-21.666,-24.034,-19.874,-15.668,-13.639,-12.672,-11.56,-10.88,-9.417,-8.713,-6.94
income-from-discontinued-operations,,,,,,,,,,,,0.034,-0.064,0.153,-1.792,-11.419,-0.942,1.835,-1.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,0.852,1.402,4.378,9.893,1.659,-1.691,-6.569,-6.86,-2.227,-7.767,-9.977,-9.119,-3.081,-4.198,-12.481,-27.327,-18.927,-15.432,-11.834,-5.4,-10.845,-29.111,-6.144,-2.5,-21.29,-10.519,-10.665,-10.194,-12.417,-14.476,-14.78,-14.337,-13.562,-8.084,-9.848,-20.857,-12.1,-13.711,-14.491,-15.538,-16.922,-20.239,-19.645,-29.197,-21.666,-24.034,-19.874,-15.668,-13.639,-12.672,-11.56,-10.88,-9.417,-8.713,-7.162
ebitda,24.762,13.494,12.4,20.6251,10.988,7.934,3.522,2.553,5.873,0.026,-1.985,-0.776,6.047,2.135,-4.277,-8.184,-10.503,-10.378,-3.833,4.223,0.192,-2.25,1.184,3.153,-14.217,-2.963,-3.302,-3.148,-5.877,-7.865,-8.051,-7.691,-6.932,-13.231,-6.11,-14.105,-5.141,-6.807,-7.503,-9.139,-10.799,-13.487,-15.127,-24.68,-17.084,-19.914,-18.596,-14.664,-13.189,-11.177,-9.892,-8.437,-8.829,-8.356,-6.383
ebit,17.004,7.603,7.265,16.233,6.865,4.325,,-0.768,2.047,-3.358,-5.308,-4.135,2.418,-1.288,-7.699,-12.616,-14.795,-14.059,-7.266,1.168,-2.876,-5.28,-1.886,0.206,-17.313,-5.822,-6.206,-6.086,-8.471,-10.519,-10.895,-10.511,-9.768,-14.915,-7.273,-9.725,-8.278,-9.9,-10.73,-11.962,-13.48,-16.445,-17.472,-27.357,-19.834,-22.139,-20.012,-16.053,-14.582,-12.409,-10.798,-9.199,-9.533,-9.007,-6.906
basic-shares-outstanding,60.743,59.845,59.355,58.86,59.017,58.833,58.483,58.003,58.01,57.977,57.694,57.251,57.341,57.196,57.03,56.786,56.898,56.808,56.4967,55.629,55.819,55.426,55.089,54.011,54.458,53.835,53.052,47.924,48.041,47.824,47.607,46.69,47.322,46.378,45.5832,39.6079,40.155,38.286,37.888,29.727,28.0087,27.869,27.805,27.611,27.716,27.568,27.394,16.688,26.323,12.791,0.484,0.363,0.355,0.352,0.34
shares-outstanding,62.336,61.486,61.148,61.008,61.146,58.833,58.483,58.003,58.01,57.977,57.694,57.251,57.341,57.196,57.03,56.786,56.898,56.808,56.4967,55.629,55.819,55.426,55.089,54.011,54.458,53.835,53.052,47.924,48.041,47.824,47.607,46.69,47.322,46.378,45.5832,39.6079,40.155,38.286,37.888,29.727,28.0087,27.869,27.805,27.611,27.716,27.568,27.394,16.688,26.323,12.791,0.484,0.363,0.355,0.352,0.34
eps-basic-net-earnings-per-share,0.01,0.02,0.07,0.17,0.03,-0.03,-0.11,-0.12,-0.04,-0.13,-0.17,-0.131,-0.05,-0.08,-0.219,-0.471,-0.34,-0.27,-0.209,-0.09,-0.19,-0.53,-0.11,-0.04,-0.39,-0.2,-0.2,-0.21,-0.26,-0.3,-0.31,-0.3,-0.29,-0.17,-0.22,-0.5,-0.3,-0.36,-0.38,-0.39,-0.6,-0.73,-0.71,-1.05,-0.78,-0.87,-0.73,22.16,-0.52,-0.99,-23.86,-27.41,-26.48,-24.77,-21.06
eps-earnings-per-share-diluted,0.01,0.02,0.07,0.16,0.03,-0.03,-0.11,-0.12,-0.04,-0.13,-0.17,-0.131,-0.05,-0.08,-0.219,-0.471,-0.34,-0.27,-0.209,-0.09,-0.19,-0.53,-0.11,-0.04,-0.39,-0.2,-0.2,-0.21,-0.26,-0.3,-0.31,-0.3,-0.29,-0.17,-0.22,-0.5,-0.3,-0.36,-0.38,-0.39,-0.6,-0.73,-0.71,-1.05,-0.78,-0.87,-0.73,22.16,-0.52,-0.99,-23.86,-27.41,-26.48,-24.77,-21.06
