,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30
total-provision-income-taxes,-0.251,0.717,0.168,1.01,-0.051,0.339,-1.392,-0.541,-164.683,0.049,0.056,-3.033,-0.253,-0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,0.075,0.075,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-61.809,-84.551,-120.299,-78.083,-159.163,-61.833,-49.916,-69.208,-111.666,-48.136,-54.992,-58.647,-46.654,-51.05,-43.691,-42.897,-37.8,-27.133,-24.288,-21.22,-17.149,-14.614,-15.943,-12.237,-14.589,-15.349,-17.458,-10.015,-16.29,-9.343,-13.137,-8.662,-9.759,-12.641,-13.35,-15.088,-15.357,-11.315,-13.176,32.957,-13.429,-13.623,-12.472,-14.15,-8.18,-9.294,-7.731,-11.773,-10.303,-9.706,-9.736,-11.684,-28.089
ebitda,-56.003,-74.821,-78.639,-65.174,-152.513,-43.286,-52.612,-64.046,-271.918,-43.936,-48.789,-43.556,-42.3,-47.775,-42.328,-40.814,-37.65,-26.59,-23.55,-21.634,-16.441,-13.87,-15.209,-15.389,-14.706,-15.555,-16.812,-15.502,-16.494,-8.905,-10.325,-12.688,-12.755,-14.298,-9.561,-16.978,-12.754,-12.156,-12.814,33.491,-12.913,-13.332,-12.464,-14.42,-8.917,-10.159,-8.967,-14.954,-11.491,-9.972,-9.935,-10.508,-9.471
ebit,-57.305,-76.43,-81.279,-69.483,-156.181,-46.931,-56.182,-67.677,-275.232,-47.061,-52.015,-45.407,-44.94,-48.542,-43.001,-41.391,-38.045,-26.943,-24.058,-21.998,-16.816,-14.266,-15.621,-15.79,-15.135,-16.005,-17.251,-15.923,-16.916,-9.347,-10.745,-13.03,-13.134,-14.724,-9.999,-16.537,-13.265,-12.686,-13.35,32.944,-13.474,-13.851,-12.969,-14.877,-9.3,-10.491,-9.288,-13.483,-11.806,-10.284,-10.232,-10.753,-9.471
basic-shares-outstanding,254.674,238.09,213.519,185.79,189.163,188.621,175.978,153.355,160.797,143.001,142.771,134.402,140.656,129.122,125.178,109.924,118.725,99.994,95.743,74.444,78.889,67.213,64.354,51.286,49.621,49.621,49.621,45.565,48.514,46.87,37.888,34.57,34.98,34.531,34.499,27.735,27.625,27.623,24.289,22.624,22.621,22.618,22.614,22.494,22.517,22.467,22.413,13.236,22.292,7.084,0.954,0.779,0.72
shares-outstanding,254.674,238.09,213.519,185.79,189.163,188.621,175.978,153.355,160.797,143.001,142.771,134.402,140.656,129.122,125.178,109.924,118.725,99.994,95.743,74.444,78.889,67.213,64.354,51.286,49.621,49.621,49.621,45.565,48.514,46.87,37.888,34.57,34.98,34.531,34.499,27.735,27.625,27.623,24.289,22.624,22.621,22.618,22.614,22.494,22.517,22.467,22.413,13.236,22.292,7.084,0.954,0.779,0.72
eps-basic-net-earnings-per-share,-0.24,-0.36,-0.56,-0.43,-0.84,-0.33,-0.28,-0.43,-0.69,-0.34,-0.39,-0.41,-0.33,-0.4,-0.35,-0.36,-0.32,-0.27,-0.25,-0.24,-0.22,-0.22,-0.25,-0.21,-0.29,-0.31,-0.35,-0.18,-0.34,-0.2,-0.35,-0.24,-0.28,-0.37,-0.39,-0.47,-0.56,-0.41,-0.54,1.45,-0.59,-0.6,-0.55,-0.64,-0.36,-0.41,-0.34,8.9,-0.46,-1.37,-10.21,-15.01,-39.04
eps-earnings-per-share-diluted,-0.24,-0.36,-0.56,-0.43,-0.84,-0.33,-0.28,-0.43,-0.69,-0.34,-0.39,-0.41,-0.33,-0.4,-0.35,-0.36,-0.32,-0.27,-0.25,-0.24,-0.22,-0.22,-0.25,-0.21,-0.29,-0.31,-0.35,-0.18,-0.34,-0.2,-0.35,-0.24,-0.28,-0.37,-0.39,-0.47,-0.56,-0.41,-0.54,1.45,-0.59,-0.6,-0.55,-0.64,-0.36,-0.41,-0.34,8.9,-0.46,-1.37,-10.21,-15.01,-39.04
