,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,43.2,-9.5,-26.0,-3.4,20.9,50.1,-4.9,33.948,33.551,4.616,10.485,32.265,20.388,-2.042,11.889,56.748,42.088,14.1,-21.52,47.641,21.832,5.029,-20.236,15.217,13.491,10.356,-8.805,14.999,5.62,5.546,-8.022,26.9,-0.137,12.523,-23.173,23.888,11.944,9.434,1.918,3.661,-0.539,13.251,10.172,1.161,9.958,1.815,7.024,27.742,2.845,-4.961,-2.69,26.129,4.354,-3.054,-4.636
income-from-discontinued-operations,,,,,,,,,,,,5.151,0.952,-8.905,-7.898,-23.401,-5.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,43.2,-9.5,-26.0,-3.4,20.9,50.1,-4.9,33.948,33.551,4.616,10.485,37.416,21.34,-10.947,3.991,33.347,36.943,14.1,-21.52,30.116,21.832,5.029,-20.236,15.222,13.491,10.484,-8.062,16.104,6.617,7.632,-6.829,28.657,1.549,14.21,-21.397,26.247,13.12,9.808,2.523,4.234,0.949,14.842,11.119,1.457,10.386,1.815,7.024,27.742,2.845,-4.961,-2.69,26.129,4.354,-3.054,-4.636
ebitda,99.1,22.3,0.1,36.3001,33.7,79.1,2.9,65.793,57.571,18.46,25.076,60.952,45.863,6.888,29.997,94.689,71.72,30.218,-19.778,83.919,40.024,16.321,-18.623,28.704,23.322,18.921,-9.187,27.553,12.587,11.189,-10.165,48.419,3.82,22.486,-33.271,36.933,21.979,16.161,4.474,5.447,-2.781,23.955,18.528,2.273,16.623,3.739,12.256,44.379,5.687,-7.523,-4.633,45.344,10.984,-5.16,-8.43
ebit,70.7,-7.0,-27.2,11.2001,21.3,66.8,-9.5,53.092,47.769,8.529,14.91,50.907,35.478,-2.042,21.157,85.213,63.159,21.452,-28.31,75.752,31.032,7.862,-25.458,23.293,18.147,14.712,-13.35,24.035,9.817,8.653,-12.538,45.99,1.408,20.207,-35.506,34.963,20.605,14.811,3.178,4.125,-3.951,22.71,17.266,0.856,15.338,2.558,11.175,43.159,4.422,-8.657,-5.831,43.899,9.721,-6.194,-9.398
basic-shares-outstanding,51.6,51.5,51.2,50.1,50.1,49.9,49.6,41.8,41.223,41.014,40.7278,40.2,40.4654,40.203,39.543,38.595,38.831,38.481,37.949,37.345,37.507,37.417,36.854,36.201,36.273,36.144,35.968,36.08,36.203,36.183,36.046,35.659,35.85,35.62,35.179,31.782,31.3018,31.097,30.88,30.444,30.507,30.27,30.184,29.835,29.819,29.764,29.75,28.996,29.74,28.599,27.864,23.04,22.39,22.372,22.349
shares-outstanding,52.3,51.5,51.2,51.4,51.5,51.2,49.6,50.3,50.468,50.079,49.7184,49.3,49.4403,40.203,48.36,47.256,47.785,47.41,37.949,45.803,46.557,38.333,36.854,36.748,37.016,36.527,35.968,36.421,36.67,36.557,36.046,36.206,36.448,36.667,35.179,32.54,32.1133,31.9,31.433,31.375,31.535,30.95,31.454,30.458,30.591,30.045,29.82,29.663,29.901,28.599,27.864,24.567,23.705,22.372,22.349
eps-basic-net-earnings-per-share,0.84,-0.18,-0.51,-0.07,0.42,1.0,-0.1,0.8,0.81,0.11,0.26,0.94,0.52,-0.27,0.1,0.89,0.94,0.37,-0.57,0.82,0.58,0.13,-0.55,0.42,0.37,0.29,-0.22,0.45,0.18,0.21,-0.19,0.82,0.04,0.4,-0.61,0.81,0.42,0.32,0.08,0.13,0.03,0.49,0.37,0.04,0.35,0.06,0.24,0.96,0.1,-0.17,-0.1,1.15,0.19,-0.14,-0.21
eps-earnings-per-share-diluted,0.83,-0.18,-0.51,-0.07,0.41,0.98,-0.1,0.69,0.68,0.11,0.23,0.85,0.45,-0.27,0.1,0.87,0.79,0.32,-0.57,0.81,0.49,0.13,-0.55,0.42,0.36,0.29,-0.22,0.45,0.18,0.21,-0.19,0.82,0.04,0.39,-0.61,0.79,0.41,0.31,0.08,0.13,0.03,0.48,0.35,0.04,0.34,0.06,0.24,0.94,0.1,-0.17,-0.1,1.1,0.18,-0.14,-0.21
