,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,5.441,5.518,4.862,4.542,3.631,4.318,4.886,3.167,3.408,2.7,4.259,7.607,1.699,2.6,0.157,3.051,2.887,3.253,2.162,3.643,3.237,2.729,2.354,3.124,2.77,2.582,2.687,3.503,2.204,1.835,1.746,12.889,-6.663,1.333,0.853,-0.124,1.479,1.654,1.358,-1.784,2.09,1.931,1.365,,1.311
income-from-discontinued-operations,-0.574,,,,,,,,,,,,,,,,,,,,,,,-2.239,-0.203,-0.15,10.574,0.242,-0.407,-0.371,-1.117,,,,,,,,,,,,,,
net-income,4.867,5.518,4.862,4.668,3.631,4.318,4.886,3.314,3.408,2.7,4.259,7.704,1.699,2.6,0.157,3.321,2.887,3.253,2.162,3.923,3.237,2.729,2.354,0.885,2.567,2.432,13.261,3.745,1.797,1.464,0.629,2.496,-6.663,1.333,0.853,1.537,1.479,1.654,1.358,-3.73,0.933,0.789,0.223,,0.273
ebitda,10.222,10.434,8.478,8.931,8.674,9.399,6.543,9.678,7.73,8.933,8.556,9.734,4.311,5.333,3.102,4.279,5.498,6.274,4.787,6.423,6.107,5.221,4.304,4.05,4.842,4.56,4.335,5.946,4.558,3.909,4.009,21.909,4.113,3.672,2.99,1.664,3.899,4.26,3.675,2.086,5.456,5.213,4.523,,2.915
ebit,7.28,7.713,6.243,6.8091,5.988,6.913,4.589,7.679,5.807,5.921,6.961,7.934,2.495,4.394,0.653,3.015,4.284,5.098,3.627,5.242,4.961,4.098,3.77,3.476,4.263,3.98,3.742,5.261,3.867,3.217,3.318,21.081,-12.86,2.69,2.006,0.512,2.797,3.272,2.692,0.791,4.046,3.812,3.126,,2.915
basic-shares-outstanding,13.766,13.044,12.995,12.049,12.179,11.533,11.502,11.47,11.486,11.47,11.434,11.292,11.367,11.361,11.022,10.986,11.007,10.989,10.947,10.9,10.927,10.903,10.85,10.826,10.787,10.785,10.778,10.764,10.761,10.761,10.756,10.752,10.746,10.746,10.746,10.604,10.681,10.5,10.5,2.707,1.019,1.019,1.019,,1.0193
shares-outstanding,14.203,13.433,13.381,12.383,12.569,11.838,11.696,11.623,11.631,11.622,11.581,11.349,11.417,11.385,11.178,11.189,11.247,11.212,11.612,11.114,11.154,11.138,11.11,11.075,11.071,11.016,10.845,10.784,10.773,10.785,10.76,10.752,10.746,10.77,10.754,10.606,10.681,10.5,10.5,2.707,5.162,5.19,1.117,,5.1179
eps-basic-net-earnings-per-share,0.36,0.42,0.37,0.37,0.29,0.37,0.42,0.28,0.3,0.24,0.37,0.68,0.15,0.23,0.01,0.3,0.26,0.3,0.2,0.35,0.3,0.25,0.22,0.07,0.24,0.23,1.23,0.35,0.16,0.14,0.06,0.24,-0.62,0.12,0.08,0.14,0.14,0.16,0.13,-2.57,0.92,0.77,0.22,,0.27
eps-earnings-per-share-diluted,0.34,0.41,0.36,0.35,0.28,0.36,0.42,0.28,0.29,0.23,0.37,0.68,0.15,0.23,0.01,0.3,0.26,0.29,0.19,0.35,0.29,0.25,0.21,0.05,0.23,0.22,1.23,0.35,0.16,0.14,0.06,0.24,-0.62,0.12,0.08,0.14,0.14,0.16,0.13,-1.63,0.4,0.37,0.2,0.0,0.26
