,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30
total-provision-income-taxes,5.27,10.645,10.587,8.624,-7.457,9.164,9.902,53.155,7.495,-1.131,1.492,96.999,8.285,6.877,10.258,9.956,9.161,8.02,7.708,9.432,5.568,4.776,7.902,2.717,4.581,8.294,4.413,6.159,5.301,4.443,5.98,5.429,3.869,5.751,7.429,5.112,7.376,7.403,14.273,6.744,7.814,7.065,6.535,20.509,7.554,6.779,5.622,5.49,6.941,7.377,6.059,9.0,10.17
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,49.085,44.888,49.322,46.934,57.126,43.853,45.63,-7.735,35.853,45.138,51.533,225.724,27.773,30.023,27.577,24.101,19.325,19.351,20.523,21.221,14.863,13.802,22.632,9.313,15.602,17.038,16.428,15.007,13.794,17.697,15.774,13.82,14.829,17.038,18.013,16.114,16.419,14.287,26.71,14.06,13.055,13.092,13.021,-0.53,13.065,10.601,8.791,11.082,6.886,2.798,2.313,3.342,3.864
ebitda,57.56,58.226,61.442,59.074,53.806,57.165,59.126,50.403,47.983,48.575,56.887,330.037,40.827,40.51,41.388,40.9731,32.046,31.761,31.154,35.984,25.636,21.475,33.236,15.6149,23.602,25.997,25.924,25.133,20.488,24.886,24.088,21.797,20.701,23.928,27.433,23.418,24.442,22.584,42.361,22.819,22.289,21.503,21.594,21.629,21.994,18.03,15.442,17.945,18.225,19.54,16.502,21.371,22.496
ebit,51.632,52.004,56.023,53.906,48.641,51.612,53.885,44.726,43.061,43.849,52.151,325.575,36.604,36.429,37.337,36.8921,28.14,27.841,27.377,32.647,22.268,18.405,30.193,12.653,20.743,23.18,23.141,22.273,17.952,22.673,22.328,20.063,18.933,22.132,25.389,21.589,22.838,21.01,40.784,21.352,20.84,19.948,20.086,20.11,20.506,16.74,13.994,16.578,16.925,18.259,15.187,20.301,22.496
basic-shares-outstanding,53.535,53.356,53.21,52.296,52.432,51.999,51.709,51.516,52.079,51.677,50.652,49.53,49.477,49.256,49.424,51.311,50.974,51.3,52.687,54.708,53.988,55.876,56.705,56.69,56.501,56.44,57.24,57.445,57.201,57.141,58.178,59.659,59.971,59.842,59.598,58.769,58.866,58.798,58.267,57.603,57.666,57.552,57.408,56.321,56.775,56.167,55.109,71.315,71.335,16.693,16.592,16.528,16.51
shares-outstanding,57.262,57.066,56.799,56.039,56.237,55.742,55.496,55.874,56.163,56.173,55.529,53.195,53.565,52.703,51.949,53.707,53.686,53.675,53.964,55.571,54.618,56.818,58.047,57.48,57.404,57.204,58.011,58.374,58.145,58.084,59.142,60.845,61.086,61.232,60.991,60.609,60.572,60.51,60.464,60.171,60.157,60.185,57.408,60.19,60.377,60.051,55.109,80.562,71.335,20.732,16.592,16.528,20.302
eps-basic-net-earnings-per-share,0.92,0.84,0.93,0.89,1.09,0.84,0.88,-0.16,0.69,0.87,1.02,4.55,0.56,0.61,0.56,0.47,0.38,0.38,0.39,0.4,0.28,0.25,0.4,0.16,0.28,0.3,0.29,0.26,0.24,0.31,0.27,0.24,0.25,0.28,0.3,0.27,0.28,0.24,0.46,0.23,0.23,0.23,0.23,-0.01,0.23,0.19,0.16,0.22,0.18,0.17,0.14,0.2,0.23
eps-earnings-per-share-diluted,0.86,0.79,0.87,0.82,1.02,0.79,0.82,-0.14,0.64,0.8,0.93,4.23,0.52,0.57,0.53,0.45,0.36,0.36,0.38,0.4,0.27,0.24,0.39,0.17,0.27,0.3,0.28,0.26,0.24,0.3,0.27,0.23,0.24,0.28,0.3,0.26,0.27,0.24,0.44,0.22,0.22,0.22,0.22,-0.02,0.22,0.18,0.15,0.2,0.16,0.13,0.11,0.16,0.19
