,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
total-provision-income-taxes,3.295,3.434,3.611,0.681,3.04,-4.462,0.205,-27.47,-8.822,0.385,0.939,-6.494,-2.325,-3.3,-1.287,-4.163,0.187,0.158,0.166,-5.918,-0.477,0.961,-0.9,48.36,0.943,0.42,0.042,-12.24,0.268,-0.025,1.062,0.692,-2.114,0.33,-7.332,0.125,-1.531,-1.393,-2.322,-10.157,-4.256,-1.712,-0.621,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,-36.2,-18.932,-30.256,-22.947,-35.829,-90.621,-19.907,26.852,-34.122,-20.96,-36.707,-30.001,-52.709,-42.031,-40.193,-91.152,-62.65,-37.306,-46.248,-219.49,-5.321,-10.448,-5.237,-254.441,-6.292,-12.537,-6.898,-4.803,-11.681,-5.084,-0.176,-1.981,-1.637,-2.869,-23.969,-8.096,-12.759,-8.603,-10.051,-30.691,-24.995,-13.741,-3.517,
income-from-discontinued-operations,-7.589,1.12,-6.345,-10.821,-6.696,22.923,-5.607,2.281,-97.748,-20.202,-21.992,-14.875,-57.436,-187.329,-7.799,-14.625,-36.211,-7.009,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-43.789,-17.812,-36.601,-33.768,-42.525,-67.698,-25.514,29.133,-131.87,-41.162,-58.699,-44.876,-110.145,-229.36,-47.992,-105.777,-98.861,-44.315,-49.748,-238.677,-5.321,-10.448,-5.237,-248.218,-6.292,-12.537,-6.898,-4.803,-11.681,-5.084,-0.176,-1.981,-1.637,-2.869,-23.969,-8.096,-12.759,-8.603,-10.035,-30.75,-24.996,-13.741,-3.517,
ebitda,27.165,40.453,42.932,42.437,25.006,31.918,34.052,51.7451,16.399,24.343,23.429,21.8261,6.61,8.099,8.459,-39.8531,-24.573,-15.079,-23.902,-73.413,5.907,2.484,4.794,-44.265,5.277,0.574,4.218,-5.131,-3.681,2.489,8.221,5.615,3.01,4.487,7.843,3.757,1.268,4.739,2.346,3.287,-10.028,-2.434,2.417,
ebit,-11.14,2.666,5.945,3.886,-9.134,-1.658,-0.89,17.209,-18.509,-8.793,-9.598,-19.292,-38.604,-34.368,-30.694,-80.2611,-41.042,-34.342,-33.121,-82.397,-4.425,-7.955,-5.029,-265.472,-3.745,-8.376,-4.613,-13.965,-10.732,-4.871,1.234,-1.454,-4.137,-2.311,0.75,-3.439,-5.563,-1.463,-4.463,-7.671,-17.303,-8.272,-3.242,
basic-shares-outstanding,126.767,126.267,125.812,112.592,113.043,106.095,105.904,104.531,104.836,104.377,103.663,102.968,103.072,102.785,102.704,64.808,52.75,52.631,52.437,51.293,48.832,48.612,48.524,48.103,48.068,45.004,41.754,40.064,39.708,39.58,39.327,38.227,39.15,39.04,35.456,27.77,29.569,27.411,24.764,24.659,24.314,72.935,72.928,
shares-outstanding,126.767,126.267,125.812,112.592,113.043,106.095,105.904,104.531,104.836,104.377,103.663,102.968,103.072,102.785,102.704,64.808,52.75,52.631,52.437,51.293,48.832,48.612,48.524,48.103,48.068,45.004,41.754,40.064,39.708,39.58,39.327,38.227,39.15,39.04,35.456,27.77,29.569,27.411,24.764,24.659,24.314,72.935,72.928,
eps-basic-net-earnings-per-share,-0.35,-0.14,-0.29,-0.25,-0.38,-0.64,-0.24,0.28,-1.26,-0.39,-0.57,-0.43,-1.07,-2.23,-0.47,-0.95,-1.87,-0.84,-0.95,-4.63,-0.11,-0.21,-0.11,-5.11,-0.13,-0.28,-0.17,-0.1155,-0.29,-0.13,-0.0045,-0.01,-0.04,-0.07,-0.68,-0.27,-0.43,-0.31,-0.41,-1.25,-1.03,-0.19,-0.05,
eps-earnings-per-share-diluted,-0.35,-0.14,-0.29,-0.25,-0.38,-0.64,-0.24,0.28,-1.26,-0.39,-0.57,-0.43,-1.07,-2.23,-0.47,-0.95,-1.87,-0.84,-0.95,-4.63,-0.11,-0.21,-0.11,-5.11,-0.13,-0.28,-0.17,-0.1155,-0.29,-0.13,-0.0045,-0.01,-0.04,-0.07,-0.68,-0.27,-0.43,-0.31,-0.41,-1.25,-1.03,-0.19,-0.05,0.0
