,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31
total-provision-income-taxes,,,,,,,,,-0.042,-0.016,0.017,-0.026,-0.993,0.009,0.062,-3.472,-5.496,-6.946,0.013,0.039,0.045,,,,,,,0.01,,,-0.005,-0.029,0.007,0.006,0.007,0.01,0.0,0.0,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
income-from-continuous-operations,-290.478,-37.763,-35.202,-22.433,-42.264,-28.839,-30.18,-39.783,-42.66,-22.453,-21.126,-23.602,-16.618,-18.246,-10.22,-11.862,-12.981,-6.696,-10.165,-9.636,-1.461,77.536,-4.952,-27.362,-10.852,-13.332,-21.055,-0.653,-19.282,-17.169,-10.282,-23.705,-22.038,-19.177,-18.983,-2.135,-22.125,-27.839,-21.466,,
income-from-discontinued-operations,,,,,,-0.198,,0.075,-0.134,-0.555,-0.181,0.109,-0.379,-0.582,-0.169,3.019,-1.635,79.16,-12.696,-10.884,-11.364,-14.672,-15.98,,,,,,,,,,,,,0.0,,,,,
net-income,-290.478,-37.763,-35.202,-22.433,-42.264,-29.037,-30.18,-39.708,-42.794,-23.008,-21.307,-23.493,-16.997,-18.828,-10.389,-8.843,-14.616,72.464,-22.861,-20.52,-12.825,62.864,-20.932,-35.617,-10.852,-13.332,-21.055,-0.643,-19.282,-17.169,-10.292,-23.705,-22.038,-19.177,-18.983,-2.135,-22.125,-27.839,-21.466,,
ebitda,-294.179,-43.724,-38.079,-32.383,-44.819,-32.791,-31.027,-38.185,-38.136,-21.669,-20.634,-22.843,-16.164,-17.84,-13.445,-13.622,-11.458,-11.085,-9.149,-7.194,-8.81,70.16,-10.713,-5.701,-10.426,-11.87,-14.565,-13.661,-9.155,-14.388,-6.611,-19.717,-19.354,-17.152,-16.824,-20.425,-13.306,-17.481,-15.954,,
ebit,-293.341,-40.786,-38.27,-32.983,-44.324,-32.818,-31.05,-38.336,-38.425,-22.076,-21.099,-23.316,-16.713,-18.576,-14.08,-14.116,-12.081,-11.73,-9.799,-7.679,-9.3,69.62,-11.28,-6.259,-11.022,-12.479,-15.177,-14.207,-10.638,-14.901,-7.685,-20.613,-20.262,-17.992,-17.557,-18.626,-16.634,-18.411,-16.505,,
basic-shares-outstanding,43.029,42.458,42.236,37.884,39.242,35.355,34.841,27.301,25.431,24.822,24.813,24.785,24.791,24.777,24.722,21.449,22.613,19.176,19.17,17.825,17.63,17.498,17.4136,13.571,13.0853,12.6095,12.6011,10.0698,11.2963,8.1811,8.1711,5.339,4.665,4.2523,4.2466,1.573,0.1729,0.1685,0.1608,,
shares-outstanding,43.029,42.458,42.236,37.884,39.242,35.355,34.841,27.301,25.431,24.822,24.813,24.785,24.791,24.777,24.722,21.449,22.613,19.176,19.17,17.855,17.63,17.498,18.1654,13.571,13.0853,12.6095,12.6011,10.0698,11.2963,8.1811,8.1711,5.339,4.665,4.2523,4.2466,1.573,0.1729,0.1685,0.1608,,
eps-basic-net-earnings-per-share,-6.75,-0.89,-0.83,-0.49,-1.08,-0.83,-0.87,-1.18,-1.68,-0.93,-0.86,-0.94,-0.69,-0.76,-0.42,-0.72,-0.65,3.78,-1.19,-1.18,-0.73,3.59,-1.2,-2.44,-0.8,-1.04,-1.68,0.32,-1.68,-2.08,-1.28,-2.0,-4.72,-4.48,-4.48,-1.36,-128.0,-165.2,-133.52,,
eps-earnings-per-share-diluted,-6.75,-0.89,-0.83,-0.49,-1.08,-0.83,-0.87,-1.18,-1.68,-0.93,-0.86,-0.94,-0.69,-0.76,-0.42,-0.72,-0.65,3.78,-1.19,-0.78,-0.73,3.59,-1.6,-2.44,-0.8,-1.04,-1.68,0.32,-1.68,-2.08,-1.28,-2.0,-4.72,-4.48,-4.48,-1.36,-128.0,-165.2,-133.52,0.0,0.0
